출처,기업명,제목,급여,등록일,마감일,근무지역,경력,학력,근무형태,근무직종,연락처,세부내용,자격면허,링크
워크넷,한바다중학교,[광안동] 한바다중학교 경비원 모집,월급 99만원 이상,24/09/13,24/09/20 마감,부산광역시 수영구 광안로21번가길 57 (광안동),관계없음,학력무관,"주 4일 근무
(주 소정근로시간: 18시간)",교육 서비스업,,"<td>
              
              한바다중학교 교육공무직(경비원-격일제) 채용 공고<br/><br/>1. 채용인원: 1명<br/>2. 응시자격  <br/>  가. 「고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행령」 제2조에 따른 (준)고령자 <br/>  나. 「부산광역시교육감 소속 교육공무직원 취업규칙(인사)」 제5조(결격사유)에 의한 신규채용 제한 사유가 없는 자<br/>  다. 주말 및 공휴일 근무 가능한 자(명절 포함)<br/>  라. 채용신체검사 결과 경비원 근무가 가능하다고 확인 받은 자<br/>  마. 취업지원 대상자 우대 <br/>3. 근무조건: 격일제 근무<br/>4. 계약기간: 2024.10.1. ~ 정년퇴직(만 65세)까지 (3개월 수습기간)<br/>5. 서류접수: 2024.9.12.(목) 14:00 ~ 2024.9.20.(금) 14:00<br/>6. 접수방법: 방문접수, 등기우편, 전자우편(공고문 참조)<br/>7. 접수장소 및 문의사항: 한바다중학교 행정실(☎ 051-760-0762)<br/><br/>* 기타 자세한 사항은 공고문을 참고하시기 바랍니다.
            </td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBQ002409130012&rtnTarget=list1
워크넷,(주)간호박사종합재가센터,[영주동] 재가 요양보호사 채용,"시급 9,860원 ~ 9,860원",24/09/13,정보 없음,"부산광역시 중구 망양로 405 (영주동, 동주파크)",관계없음,학력무관,"주 6일 근무
(주 소정근로시간: 18시간)",방문 복지서비스 제공업,,"<td>
              
              - 3등급 80대 할머니 케어(배우자 동거)<br/>- 식사준비, 주변정리, 기저귀케어등<br/>- 주6일/ 13시~16시 <br/>- 시급 12,500원(제수당 포함)<br/><br/><br/><br/>** 동 구인은 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을수 있음 **
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBF002409130001&rtnTarget=list2
워크넷,생명사랑장애인활동지원센터,[양정동]장애인활동지원사 모집,"시급 9,860원 ~ 9,860원",24/09/13,정보 없음,"부산광역시 부산진구 동평로 416, - (양정동, 대원플러스빌)",관계없음,학력무관,"주 6일 근무
(주 소정근로시간: 36시간)",방문 복지서비스 제공업,,"<td>
              
              [양정동]장애인활동지원사 모집<br/>- 40대/ 편마비 여성장애인<br/>- 주6일 / 오후 4시-10시 / 일요일 격주 근무(한달에 2번 근무) / 월 160~170시간 정도<br/>- 시급: 13,000원 (기본급 9,860원+제수당포함), 중증가산수당 별도지급 <br/>- 신체활동 지원, 세탁, 식사준비, 청소, 신변처리 등<br/>- 생명사랑장애인활동지원센터 김송나 010-8530-5400<br/><br/>*실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자 마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음.
            </td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBN002409130004&rtnTarget=list3
워크넷,생명사랑장애인활동지원센터,[광안동]장애인활동지원사 모집,"시급 9,860원 이상",24/09/13,정보 없음,"부산광역시 수영구 무학로52번길 36-9, - (광안동)",관계없음,학력무관,"주 6일 근무
(주 소정근로시간: 30시간)",방문 복지서비스 제공업,,"<td>
              
              [광안동]장애인활동지원사 모집<br/>- 40대 여성 지적장애인<br/>- 주6일 / 11-16시(월90시간)<br/>- 시급: 13,000원(최저시급9,860+주휴수당+연차수당,+보전수당 포함)<br/>- 생명사랑장애인활동지원센터 김송나 010-8530-5400<br/><br/>*실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자 마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음.
            </td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBN002409130003&rtnTarget=list4
워크넷,생명사랑장애인활동지원센터,[부산 중구]장애인활동지원사 모집,"시급 9,860원 이상",24/09/13,정보 없음,"부산광역시 중구 보수동1가 흑교로64번길 1, - (보수동1가)",관계없음,학력무관,주 5일 근무,방문 복지서비스 제공업,,"<td>
              
              [부산 중구]장애인활동지원사 모집<br/>-50대 남자 시각장애인<br/>- 주5일 / 9-18시(월150시간+20시간)<br/>- 시급: 13,000원(최저시급9,860+주휴수당+연차수당,+보전수당 포함)<br/>- 생명사랑장애인활동지원센터 김송나 010-8530-5400<br/><br/>*실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자 마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음.
            </td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBN002409130002&rtnTarget=list5
워크넷,요양365재가복지센터,[연산동] 재가 요양보호사 채용,"시급 13,200원 이상",24/09/13,정보 없음,"부산광역시 연제구 연수로111번길 11, . (연산동)",관계없음,학력무관,"주 3일 근무
(주 소정근로시간: 9시간)",방문 복지서비스 제공업,,"<td>
              
              [연산동] 재가 요양보호사 채용<br/><br/>- 3등급 70대 남자어르신(부부거주)<br/>- 9:00~12:00(주3일,3시간),<br/>- 시급 13,200원(수당포함)<br/>- 건강검진1년이내<br/>- 일상생활 도움,휠체어로 산책도움, 휠체어로 산책도움 필요하여 건강하신분 희망 <br/>- 근무지: 연제구 연수로 111번길 근처<br/>*지원을 희망하시는 분은 010-9894-4414 (센터장)으로 연락하시기 바랍니다<br/><br/>● 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음.
            </td>","요양보호사1급(필수)
기타 : 치매교육 이수증 필수",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBA002409130003&rtnTarget=list6
워크넷,행복한노인복지요양센터,장애인 활동지원사 모집 (1957년생/ 남/ 케네디병 3등급 ),"시급 9,860원 ~ 9,860원",24/09/13,정보 없음,"부산광역시 부산진구 신천대로 71 (범천동, 서면유림노르웨이숲)",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",방문 복지서비스 제공업,,"<td>
              
              * 대상자: (1957년생/ 남/ 케네디병 3등급 / 동거가족1명<br/>* 주5일 근무<br/>* 08:30~11:30<br/>* 시급12,500원(주휴, 연차수당 포함/기본시급 9,860원)<br/>* 병원이동, 가사활동 산책 외 / 휠체어 이용/ 부축 도움<br/><br/>* 지원가능자 연락주세요 051)502-8833 / 010-8145-3738<br/>
</td>",관계없음  ,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10912409130013&rtnTarget=list7
워크넷,안심생활효자손재가장기요양기관,재가요양보호사 모집(기장),"시급 9,860원 ~ 9,860원",24/09/13,정보 없음,"부산광역시 기장군 기장읍 차성로326번길 19, . (서린에코빌아파트)",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",노인 요양 복지시설 운영업,,"<td>
              
              ㅁ 업  체 명 : 안심생활효자손재가장기요양기관(기장)<br/>ㅁ 근무주소 : 기장읍 서린에코빌@<br/>ㅁ 모집직종 : 재가 요양보호사 1명 (대상자 : 4등급, 80대 중반, 여자 어르신/ 배우자거주)<br/>ㅁ 우대사항 : 요양보호사 자격증(필수)<br/>ㅁ 근무시간 : 주 5일, 14:00~17:00<br/>ㅁ 급여사항 : 시급 12,500원(수당포함)<br/>ㅁ 복리후생 : 4대 보험, 퇴직금<br/>ㅁ 접수방법 : 전화 후  접수 문의 - 자격증 사본, 건강검진결과표, 급여통장사본(채용시)<br/>ㅁ 연락처 : 051-723-0076  <br/><br/>** 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBD002409130013&rtnTarget=list8
워크넷,미소재가복지센터,[하단동] 재가요양보호사 구인,"시급 9,860원 이상",24/09/13,정보 없음,"부산광역시 사하구 하신번영로 292, . (하단동, 세양리버빌라트)",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 20시간)",방문 복지서비스 제공업,,"<td>
              
              [하단중학교 인근 ]<br/><br/>* 2등급 80대후반 남자어르신케어/배우자<br/>* 13:00~17:00 주5일 <br/>* 가사지원, 말벗, 일상생활 지원 등 <br/>* 시급12,500원 (주휴수당 +연차수당 포함/기본시급 9,860원) <br/>* 지원 : 010-5249-2987
            </td>",요양보호사1급(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBL002409130005&rtnTarget=list9
워크넷,황제재가노인복지센터,[덕천 건강보험공단 인근] 재가요양보호사,"시급 9,860원 이상",24/09/13,24/09/27 마감,"부산광역시 북구 만덕대로40번길 26, 덕천건강보험공단 인근 (덕천동)",관계없음,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",방문 복지서비스 제공업,051-309-5229,"<td>
              
              ==================<br/>◆ 북구청 채용대행 입니다.<br/>==================<br/><br/>[덕천 건강보험공단  인근] 재가요양보호사 모집<br/><br/>○ 대상자 : 4등급 / 여자 / 92세 / 손녀와거주<br/>○ 근무일시 : 12:00 ~ 15:00 / 주 5일<br/>○ 일상생활지원 등 일반적인 재가요양보호사 업무<br/>○ 포괄시급: 12,500원 (시급+주휴수당+연차수당 등 제수당 포함)<br/><br/>* 지원문의 : 북구청 취업정보센터 051-309-5229<br/><br/>*실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금,근무(예정)지 등에 차이가 있을 수 있음<br/>
</td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KJBI002409130003&rtnTarget=list10
워크넷,스폰지노인복지센터,[개금동] 5등급 재가요양보호사 모집,"시급 9,860원 이상",24/09/13,정보 없음,"부산광역시 부산진구 백양관문로 7, .. (개금동, 개금주공아파트)",경력 (최소 1년 0 개월 이상) 우대,학력무관,"주 5일 근무
(주 소정근로시간: 15시간)",방문 복지서비스 제공업,,"<td>
              
              [개금주공아파트 근무예정]<br/>* 5등급 여자 어르신/ 71세<br/>* 주5일 09:00~12:00 (3시간)<br/>* 시급12,500원(주휴수당 및 제수당 포함)<br/>* 인지학습프로그램 및 일반요양서비스 업무 등<br/>* 치매교육이수자<br/>* 채용담당자: 010-5874-5640
            </td>",요양보호사(필수),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10912409130012&rtnTarget=list1
