출처,기업명,제목,등록일,마감일,근무형태,링크,연락처,세부내용
장노년일자리지원센터,부산광역시 사상구청,청사 시설관리(공무직) 채용 재공고,2024-09-23,2024-09-25,무기계약직,https://www.busan50plus.or.kr/job/gojob/view?seq=3275,로그인 후 조회가능로그인,"
세부내용
 사상구 청사 시설관리(공무직) 채용 재공고입니다.<br/><br/>1. 접수기간: 2024. 9. 23.(월)~ 9. 25.(수)<br/>2. 근무기간: 2024. 10. 7. ~<br/>3. 근무지: 사상구청 재무과 재산관리팀<br/>4. 담당업무: 구청사 기계설비 유지·관리<br/>청사 내외부 해당 시설에 대한 점검, 관리 및 보수<br/>5. 접수방법: 방문접수<br/>6. 접수처: 사상구청 3층 재무과(재산관리팀)<br/>7. 제출서류: 붙임파일 참조<br/>8. 문의처: 사상구청 재무과 재산관리팀 051-310-4152<br/><br/>* 상세 내용은 붙임 파일을 참조하시기 바랍니다.<br/>

"
장노년일자리지원센터,부산여성가족과평생교육진흥원,(재)부산여성가족과 평생교육진흥원 미화원 채용공고,2024-09-13,2024-09-27,기간제,https://www.busan50plus.or.kr/job/gojob/view?seq=3274,로그인 후 조회가능로그인,"
세부내용
 (재)부산여성가족과 평생교육진흥원 공고 제2024-44호<br/><br/><br/>청사 및 시설 내·외부 청소, 환경정비 업무를 수행할 직원을 다음과 같이 공개모집합니다.<br/><br/><br/>1. 채용분야 및 인원 : 미화원 1명<br/><br/><br/>2. 접수기간 : 2024. 9. 13.(금) ~ 2024. 9. 27.(금) 18:00 까지<br/><br/><br/>3. 접수처 : 부산여성가족과 평생교육진흥원 운영지원부<br/><br/><br/>* 주소 : (46510)부산시 북구 효열로 256(금곡동)<br/><br/><br/>※ 기타 자세한 내용은 공고문 참고 부탁드립니다.<br/>

"
장노년일자리지원센터,부산진여성인력개발센터,부산진여성새로일하기센터 취업상담사 모집,2024-09-09,2024-09-22,기간제,https://www.busan50plus.or.kr/job/gojob/view?seq=3273,로그인 후 조회가능로그인,"
세부내용
 ★부산진여성새로일하기센터 취업상담사 모집공고★<br/><br/>* 모집대상(인원) : 취업상담사 2명<br/><br/>* 직무 : 구인&amp;구직 상담, 구인처발굴 등 취업지원 및 여성새로일하기센터 내 관련 업무<br/><br/>* 지원자격 : 직업상담사 자격증 소지자 또는 직업상담, 직업교육훈련, 사회복지 등 관련업무에 1년이상 종사한 사람<br/><br/>* 우대사항 : 보건의료, 사회복지 관련 경력자 선발우대<br/><br/>* 급여 : 월 2,077,000원 이상 *경력자 협의 가능<br/>(실제 지급액은 인상된 24년도 사업지침 기준 적용, 식대, 명절상여, 매월활동경비 10만원 등 별도지급)<br/><br/>* 근무형태: 계약직<br/><br/>* 근무시간 : 09:00 ~ 18:00 (월~금)<br/><br/>* 근무기간 : 채용시 ~ 2024.12.31<br/><br/>* 접수기간 : 2024.09.09(월) ~ 2024.09.22(일)<br/><br/>* 면접일자 : 2024.09.27(금) 면접 진행 예정 (일정변경 가능성 있음)<br/><br/>* 지원방법 : 이메일 접수 busanjinwh_insa@daum.net 으로 자사이력서 발송-메일 제목 : 취업상담사지원_ 000 (이름)<br/><br/>* 제출서류<br/>- 1차 서류전형 : 자사양식의 이력서, 자소서, 경력기술서, 자격증사본, 경력증명서, 졸업증명서 등 기타증빙자료<br/>(자격증사본, 경력증명서, 졸업증명서 등 기타증빙자료는 최종합격 후 제출)<br/>- 2차 면접심사 : 서류 합격자 개별연락 **접수된 서류는 일체 반환되지 않습니다**<br/>

"
장노년일자리지원센터,(재)영화의 전당,2024년도 (재)영화의전당 제4차 기간제 직원 채용,2024-09-24,2024-10-04,기간제,https://www.busan50plus.or.kr/job/gojob/view?seq=3272,로그인 후 조회가능로그인,"
세부내용
재단법인 영화의전당 2024년도 제4차 기간제근로자 공개채용을 다음과 같이 실시하오니 많은 지원바랍니다.<br/>자세한 사항은 공고문을 참고해 주시고,<br/>문의사항은 (재)영화의전당 경영지원팀(☏051-780-6014)으로 해 주시기 바랍니다.<br/>

"
장노년일자리지원센터,부산광역시 일생활균형지원센터,부산광역시 일생활균형지원센터 직원 채용 공고,2024-09-05,2024-09-20,기간제,https://www.busan50plus.or.kr/job/gojob/view?seq=3271,로그인 후 조회가능로그인,"
세부내용
부산광역시일생활균형지원센터 공고 제2024-04호<br/><br/><br/>부산광역시일생활균형지원센터 직원 채용 공고<br/><br/><br/>부산광역시일생활균형지원센터는 부산시민의 일과 삶의 균형을 위한 일?생활균형 직장 및 사회 환경 조성을 위해 함께 일할 참신하고 유능한 인재를 다음과 같이 공개 모집 합니다.<br/><br/><br/>□ 채용분야 및 인원<br/>  - 고용형태 : 계약직<br/>  - 직급 : 팀원<br/>  - 인원 :1명<br/>  - 주 요 업 무 : 일·생활균형 관련 사업 및 프로그램 개발 등<br/>  -  근무기간 : 채용일로부터 ∼ 2024.12.31. (위탁기간내 재계약가능)<br/><br/><br/>※ 계약직의 경우 인사내규 제12조(수습임용)에 의해 수습기간 3개월 적용 및 근무실적에 따라 위탁기간 동안 매년 재계약 가능<br/>※ 고용형태별 중복지원은 불가하며, 직무수행 내용과 요구되는 지식·기술·태도 등은 첨부된 [직무설명서] 참조<br/><br/>□ 근무조건(계약직)<br/>? 근무시간 : 주5일 40시간 근무(1일 8시간, 9:00 ~ 18:00)<br/>? 근 무 지 : 부산일생활균형지원센터(부산시 동래구 온천동 소재)<br/>? 보 수 : 부산일생활균형지원센터 보수규정 및 예산범위 내 결정<br/>□ 응시원서 접수<br/>? 접수기간 : 2024. 09. 05.(목) ~ 2024. 09. 20.(금) 18:00까지<br/>? 접수방법 : E-mail 접수 / hjin@wlb.or.kr(18:00 마감)<br/>※ 자세한 내용은 첨부파일을 확인바랍니다.<br/>

"
장노년일자리지원센터,부산광역시 남구보건소,2024년 모자보건사업 기간제근로자(보조인력) 채용 공고,2024-09-09,2024-09-13,기간제,https://www.busan50plus.or.kr/job/gojob/view?seq=3270,로그인 후 조회가능로그인,"
세부내용
부산광역시 남구보건소 모자보건실 기간제근로자 채용계획을 다음과 같이 공고합니다.<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/><br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>1. 채용분야 인원<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 모집분야 : 모자보건사업<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 인 원 : 1명<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 근무기간 : 2024. 10. 1. ~ 2024. 12. 31. *예산범위 및 제반사정에 따라 변경 가능<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/><br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>2. 채용조건<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 담당업무 : 모자보건사업 민원 업무 전반, 남구맘 산후조리비 지원 사업 민원 응대 등<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 기본급 : 2,400천원/월<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/><br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>3. 선발방법 및 일정<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 접수기간 : 2024. 9. 9.(월) ~ 9. 13.(금), 09:00 ~ 18:00 (5일간)<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 접 수 처 : 부산광역시 남구 못골로 23(남구 보건소 1층 모자보건실)<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 접수방법 : 방문 및 등기 우편 접수(‘24.9.13. 18:00 내 도착분에 한함<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 2차 면접심사 면 접 일 : 2024. 9. 25.(수) 10:30 ※보건소 일정에 따라 변동가능<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 최종합격자 발표 : 2024. 9. 25.(수)  개별통보<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/><br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>※ 기타 자세한 사항은 부산광역시 남구보건소 건강증진과 가족보건팀(☏607-6428)으로 문의 바랍니다.

"
장노년일자리지원센터,부산광역시 남구청,2024년 하반기 산림병해충예찰방제단 채용 공고,2024-09-10,2024-09-13,기간제,https://www.busan50plus.or.kr/job/gojob/view?seq=3269,로그인 후 조회가능로그인,"
세부내용
부산광역시 남구청 공원녹지과에서는 산림병해충 선제적 대응 및 산림자원 보호를 위해『2024년 하반기 산림병해충예찰방제단 기간제근로자』를 다음과 같이 공개모집 합니다.<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/><br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>1. 채용개요<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 채용직종 : 산림병해충예찰방제단<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 모집인원 : 12명<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 계약기간 : 2024. 10. 21. ~ 2024. 12. 29.(약 2개월)※ 사업기간은 예산사정에 따라 변경될 수 있음<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 담당업무 : 소나무재선충병 등 산림병해충 예찰, 피해고사목 훈증 파쇄 및 나무주사 등<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/><br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>2. 채용조건<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 임금단가: 90,560원/일 (천공근로자 105,560원/일, 벌목공 120,560원/일)<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 근무시간 : 1일 8시간(09:00~18:00), 주 5일(40시간) 근무원칙이나 시기별로 사업의 특성에 맞추어 조별 또는 개인별로 별도 정할 수 있음<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/><br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>3. 응시원서 접수<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 접수기간 : ´24. 9. 10.(화) ~ 9. 13.(금)<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 접수처 : 남구 못골로 19(대연동) 남구청 6층 공원녹지과(산림팀)<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 실기/면접심사 : ´24. 10. 10.(목) 9:30 ~남구청 대강당(1층) 산불진화대기실(7층)<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 체력심사 : 24. 10. 15.(화) 9:30 ~/남구 국민체육센터(부산 남구 백운포로 110)<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 최종합격자 발표 : ´24. 10. 18.(금) 17:00한/공고 및 개별 통보(유선 문자 통보/합격자에 한함)<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/><br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>※ 기타 자세한 사항은 남구청 공원녹지과 산림팀(☎ 051-607-4784)으로 문의바랍니다.

"
장노년일자리지원센터,부산광역시 남구청,분포문화체육센터 시간강사(발레) 채용 공고,2024-09-10,2024-09-25,기간제,https://www.busan50plus.or.kr/job/gojob/view?seq=3268,로그인 후 조회가능로그인,"
세부내용
 분포문화체육센터 시간강사(발레) 채용 계획을 아래와 같이 공고합니다.<br/>1, 모집분야 : 발레(시간강사)<br/>2. 채용인원 : 1명<br/>3. 원서접수기간 : 2024. 09. 10.(화) ~ 09. 25.(수) 18:00 까지<br/>4. 근로조건 : 붙임공고문 참조<br/>

"
장노년일자리지원센터,부산관광공사,2024년 부산관광공사 일반계약직(시티투어 운전원) 채용 공고,2024-09-09,2024-09-19,기간제,https://www.busan50plus.or.kr/job/gojob/view?seq=3267,로그인 후 조회가능로그인,"
세부내용
 2024년 부산관광공사 일반계약직(시티투어 운전원) 채용 공고<br/><br/><br/>□  채용개요<br/><br/> - 채용직급 : 일반계약직(시티투어 운전원) ▷ 총 3명<br/> - 근무시간 : 주40시간, 주2회 휴무, 탄력적 근무(월요일 정기휴무)<br/> - 보      수 : 월2,586,840원<br/> - 계약기간 : 11개월<br/> - 공고 및 접수기간 : 24. 9. 9.~ 24. 9. 19.<br/><br/><br/>※ 채용 상세내용: 붙임 공고문 참고<br/>

"
장노년일자리지원센터,해운대구청,2024년 가구주택기초조사 조사요원 채용공고,2024-09-06,2024-09-13,기간제,https://www.busan50plus.or.kr/job/gojob/view?seq=3266,로그인 후 조회가능로그인,"
세부내용
024년 가구주택기초조사 조사요원을 모집합니다.<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/><br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 조사개요 -<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>1. 조사목적: 통계청 주관으로 전국의 모든 가구 및 주택의 기초정보를 파악하여<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>행정자료의 보완 및 총조사 조사구 설정 등에 활용하기 위함<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>2. 조사대상: 일부 아파트를 제외한 모든 거처(빈집 포함) 및 가구(약 93,047가구)<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>건축년도 5~30년미만 아파트의 경우 행정자료 및 공간정보를 활용하여<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>조사항목을 확인함에 따라 현장조사 대상에서 제외<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>3. 조사기간: 2024. 11. 8. ~ 11. 27.<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/><br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>*채용개요*<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>1. 접수기간 및 방법<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>- 인터넷 : 2024. 9. 6.(금) ~ 9. 13.(금) (8일간)<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>인구주택총조사 홈페이지(www.census.go.kr) 조사요원 모집공고문 하단의 응시 원서 작성<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/><br/>- 방문: 2024. 9. 12.(목) ~ 9. 13.(금) 09:00 ~ 18:00 (2일간)<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>해운대구 기획예산과로 응시원서 및 증빙서류 직접 제출* 점심시간 제외2. 제출서류: 응시원서 및 개인정보수집 이용 동의서, 건강보험자격득실확인서, 관련 증명서 등<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>3. 채용구분: 관리요원(5명), 조사원(26명)<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>4. 채용조건: 붙임 채용 공고 참조<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>5. 합격자발표: 2024. 9. 26.(목) - 합격자에 한하여 개별통보<br style='font-family: ""Noto Sans"", ""Noto Sans KR"", GmarketSans, ""맑은 고딕"", MalgunGothic, sans-serif; color: rgb(102, 102, 102); font-size: 18px; text-wrap: wrap; background-color: rgba(255, 255, 255, 0.8);'/>6. 문의사항: 부산광역시 해운대구 기획예산과 미래혁신팀(051-749-6171)

"
