id,source,company,title,subtitle,salary,signup_date,due_date,region_name,career,education,work_type,work_category,link,contact,views,work_hours,details,email,certification,preference_id,region_id
1,국민 일자리 벼룩시장,오미정아구찜,주방보조(설거지) 구합니다 (매주월요일휴무),,회사내규에 따름,2024-10-10,2999-12-31,부산 북구 용당로15번길 21,무관,무관, 위촉직,주방·주방보조·설거지,http://www.findjob.co.kr/job/view/0113167050094094/WJ010310/,010-4143-6532,0,12:00~21:00,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113167050&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""794px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,15
2,국민 일자리 벼룩시장,부자집돼지국밥,홀서빙 모집,,회사내규에 따름,2024-10-10,9999-01-01,부산 기장군 정관읍 구연방곡로 7-1,무관,무관, 위촉직,서빙·포장,http://www.findjob.co.kr/job/view/0113167071094094/WJ010310/,010-3558-0857 문자문의,0,09:00~21:00 휴게시간 포함,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113167071&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1361px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,2
3,국민 일자리 벼룩시장,서천식당,"부산 만덕, 세종 도로공사 반찬하실분,반찬보조",,회사내규에 따름,2024-10-10,2999-12-31,부산 북구 구만덕로 38,무관,무관, 위촉직,"주방·주방보조·설거지, 주방장·조리사, 요리·서빙 기타",http://www.findjob.co.kr/job/view/0113166516094094/WJ010310/,010-6212-6990,0,"협의가능 협의가능, 휴게시간 포함","<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113166516&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1471px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,15
4,국민 일자리 벼룩시장,올리브푸드,구내식당 조리원 오전11시~오후8시 주6일 월250만,,"2,500,000원",2024-10-10,2999-12-31,부산 금정구 동현로 121,경력,무관," 계약직, 아르바이트(파트타임)","주방·주방보조·설거지, 요리·서빙 기타",http://www.findjob.co.kr/job/view/0113166959094094/WJ010310/,010-2336-6543,0,11:00~20:00 휴게시간 포함,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113166959&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1357px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,13
5,국민 일자리 벼룩시장,삼오농산,매장 직원모집(주부가능),,회사내규에 따름,2024-10-10,2999-12-31,부산 부산진구 부전로158번길 47,무관,무관," 위촉직, 프리랜서","마트·슈퍼, 축산·청과·농수산, 대형마트·유통점",http://www.findjob.co.kr/job/view/0113165851094094/WJ010310/,010-8904-4089,0,협의가능 협의가능,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113165851&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1371px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,9
6,국민 일자리 벼룩시장,영진식당,국밥집 홀서빙 주5일 교대휴무 월300만,,"3,000,000원",2024-10-10,2999-12-31,부산 사하구 하신번영로157번길 39,무관,무관, 정규직,"요리·서빙 기타, 서빙·포장",http://www.findjob.co.kr/job/view/0113159603094094/WJ010310/,010-7127-2900,0,"09:00~21:30 협의가능, 휴게시간 포함","<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113159603&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1012px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,10
7,국민 일자리 벼룩시장,나무늘보 호텔,카운터 직원 경력자 월10일근무,,회사내규에 따름,2024-10-10,2999-12-31,부산 사상구 사상로211번길 28,년수무관,무관, 위촉직,"서비스 기타, 모텔·호텔·숙박",http://www.findjob.co.kr/job/view/0113166503094094/WJ010310/,051-317-7337,0,"협의가능 협의가능, 24시간","<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113166503&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1215px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,4
8,국민 일자리 벼룩시장,주식회사 하나로푸드,(부산 하나로푸드) 마트 정육파트사원 교대근무가능하신분,,"9,860원",2024-10-10,2999-12-31,부산 부산진구 엄광로 37,무관,무관, 위촉직,"마트·슈퍼, 축산·청과·농수산, 유통·판매 기타",http://www.findjob.co.kr/job/view/0113166496094094/WJ010310/,010-8228-2682,0,협의가능 협의가능,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113166496&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1299px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,9
9,국민 일자리 벼룩시장,선식품,닭고기 단순가공작업 직원모집,,"9,860원 이상",2024-10-10,9999-01-01,부산 금정구 동천로7번길 34-9,무관,무관, 정규직,"생산·제조·조립·인쇄, 농수산물 가공·식품 제조, 포장·검사",http://www.findjob.co.kr/job/view/0113149442094094/WJ010310/,010-3556-8058 문자문의,0,08:30~17:30 휴게시간 포함,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113149442&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1326px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,13
10,부산경영자총협회,동래정화(주),동래정화,,최저시급 이상 (협의),2024-10-04,9999-01-01,부산 동래구,,, ,경리사무원 (전화응대 및 경리) ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000359&page=1,문의 051)647-5186,42,월~금 09:00 - 16:00 휴게시간 12:00 - 13:00 식대 별도,,bngguy@naver.com,,,3
11,부산경영자총협회,모두랑,모두랑,제조단순종사자 구인 공고,최저시급 이상 (협의),2024-09-24,9999-01-01,부산 강서구,,, ,제조단순종사자 ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000357&page=1,문의 051)647-5186,83,월~금 09:00 - 16:00 휴게시간 11:30 - 13:00 점심 제공,,modurangfood@hanmail.net,,,7
12,부산경영자총협회,포코중공업,포코중공업,특수용접기능사 구인 공고 (자격필수),월급 350-400만원(협의),2024-09-09,9999-01-01,부산 사하구,,, ,특수용접기능사 (알곤용접) ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000356&page=1,문의 051)647-5186,540,월~금 08:00 - 17:00 휴게시간 12:00 - 13:00 점심 제공,,pokos@pokorea.net,,,10
13,부산경영자총협회,"[채용마감] SL글로벌 - 자동차운전원 구인 공고 (사상구) (남자,운전필수)",SL글로벌,"자동차운전원 구인 공고 (남자,운전필수)",월급 206만원,2024-08-23,9999-01-01,부산 사상구,,, ,"자동차 운전원 (거래처 납품 및 관리), 현장관리 ",https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000355&page=1,문의 051)647-5186,150,월~금 08:30 - 18:00 휴게시간 12:00 - 13:00 점심 제공,,magiclie@hanmail.net,,,4
14,부산경영자총협회,숲사랑어린이집,숲사랑어린이집,어린이집 조리사 구인 공고,월급 154만원,2024-08-14,9999-01-01,부산 동래구,,, ,어린이집 조리사 ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000354&page=1,문의 051)647-5186,131,월~금 08:30 - 15:00 (휴게시간 12:00 - 12:30),,magiclie@hanmail.net,,,3
15,부산경영자총협회,아쿠아셀(주),아쿠아셀,,월급 200만원 이상 (협의),2024-08-09,9999-01-01,부산 강서구,,, ,환경기계설비 연구개발 및 공사 프로젝트 매니저 업무 수행,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000352&page=1,문의 051)647-5186 ,165,월~금 08:00-17:00 휴게시간 12:00-13:00,,parkjmdes@naver.com,,,7
16,부산경영자총협회,웰니스병원,웰니스병원,기타보건의료종사원 구인 공고,최저시급,2024-08-09,9999-01-01,부산 연제구,,, ,"기타 보건의료 종사원 의료기구 및 병실 베드 관리, 환자 이동 및 보조 ",https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000351&page=1,문의 051)647-5186 ,352,주 6일 40시간 (스케줄 협의),,uwellness@daum.net,,,11
17,부산경영자총협회,수요양병원,수요양병원,조리사 구인 공고,월금 260만원 (협의),2024-08-08,9999-01-01,부산 부산진구,,, ,조리사,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000350&page=1,문의 051)647-5186 ,124,주 5일 06:00-18:00 (협의),,soo11915@naver.com,,,9
18,부산경영자총협회,[채용마감] 효성프라요양병원 - 간호조무사 구인 공고 (사상구),효성프라요양병원,간호조무사 구인 공고,최저임금 이상 (협의),2024-08-06,9999-01-01,부산 사상구,,, ,간호조무사,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000349&page=1,문의 051)647-5186 ,154,월~일 3교대 근무,,ppaarrkk77@daum.net,,,4
