id,source,company,title,subtitle,salary,signup_date,due_date,region_name,career,education,work_type,work_category,link,contact,preferred_qualifications,views,work_hours,details,email,certification,preference_id,region_id
1,국민 일자리 벼룩시장,콩밭골순두부,오픈 직원 모집 합니다 (홀서빙 오전반3명 / 오후반 2명) /매주 일요일휴무,,"11,000원 이상",2024-10-22,2999-12-31,부산 해운대구 좌동로14번길 62-6,무관,무관," 정규직, 계약직","요리·서빙 기타, 서빙·포장",http://www.findjob.co.kr/job/view/0113170206094094/WJ010310/,010-3857-3640,,0,10:00~15:00 17:00 ~ 21:00,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113170206&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""550px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,12
2,국민 일자리 벼룩시장,거대곰탕,"홀서빙,주방 정규직",,"2,800,000원 이상",2024-10-22,2999-12-31,부산 해운대구 해운대해변로 163,무관,무관, 위촉직,"주방·주방보조·설거지, 서빙·포장, 요리·서빙 기타",http://www.findjob.co.kr/job/view/0113167823094094/WJ010310/,010-4073-2578,,0,"협의가능 협의가능, .","<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113167823&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1719px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,12
3,국민 일자리 벼룩시장,거창맷돌순두부,홀서빙 오후반 15시30분~20시30분,,회사내규에 따름,2024-10-22,2999-12-31,부산 남구 유엔로 221,무관,무관, 위촉직,"요리·서빙 기타, 서빙·포장",http://www.findjob.co.kr/job/view/0113171718094094/WJ010310/,051-623-6204,,0,15:30~20:30 협의가능,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113171718&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1228px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,8
4,국민 일자리 벼룩시장,태양섬유,에리후세 잘하시는분 / 본봉사 A급 급구,,회사내규에 따름,2024-10-22,2999-12-31,부산 부산진구 냉정로253번길 24,무관,무관," 위촉직, 프리랜서","섬유·재단·미싱, 생산·제조·조립·인쇄, 생산·기술 기타",http://www.findjob.co.kr/job/view/0113171717181094/WJ010310/,010-4924-3396,,0,"08:30~18:00 협의가능, 휴게시간 포함","<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113171717&amp;InputBranch=181&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1613px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,9
5,국민 일자리 벼룩시장,동성포장공업사,생산직 골판지 상자 제작 기능공 구함,,회사내규에 따름,2024-10-22,9999-01-01,부산 사상구 감전천로 56,무관,무관," 위촉직, 프리랜서",생산·제조·조립·인쇄,http://www.findjob.co.kr/job/view/0113172414094094/WJ010310/,051-316-9394,,0,07:30~17:30,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113172414&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1078px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,4
6,국민 일자리 벼룩시장,광안다찌,"광안다찌(횟집) 주방, 홀 직원 구인",,"2,400,000원 이상",2024-10-22,2999-12-31,부산 수영구 광안해변로344번길 17-20,무관,무관, 정규직,"주방·주방보조·설거지, 주방장·조리사, 서빙·포장",http://www.findjob.co.kr/job/view/0113172153181094/WJ010310/,010-3474-0753,,0,16:00~22:00,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113172153&amp;InputBranch=181&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1984px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,5
7,국민 일자리 벼룩시장,신라농원,"(신라농원) 육부보조, 면부 직원모집합니다",,회사내규에 따름,2024-10-22,2999-12-31,부산 북구 기찰로 7,무관,무관, 위촉직,"요리·서빙 기타, 주방·주방보조·설거지",http://www.findjob.co.kr/job/view/0113172067094094/WJ010310/,010-2560-1336 문자문의,,0,협의가능 협의가능,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113172067&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1383px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,15
8,국민 일자리 벼룩시장,우리병원,병원 조리원 / 요양보호사 구함,,회사내규에 따름,2024-10-22,9999-01-01,부산 사상구 사상로 237,무관,무관, 위촉직,"주방·주방보조·설거지, 주방장·조리사, 요양·간병·돌봄",http://www.findjob.co.kr/job/view/0113171515094094/WJ010310/,010-6408-5561 문자문의,,0,협의가능 협의가능,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113171515&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1358px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,4
9,국민 일자리 벼룩시장,청해수산 직영점,횟집 홀서빙 정직원 모집합니다 (횟집경험자),,회사내규에 따름,2024-10-22,2999-12-31,부산 부산진구 새싹로29번길 9,경력,무관, 위촉직,"요리·서빙 기타, 서빙·포장",http://www.findjob.co.kr/job/view/0113170457181094/WJ010310/,010-3586-0703 문자문의,,0,"10:30~22:30 협의가능, 휴게시간 포함","<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113170457&amp;InputBranch=181&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1235px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,9
10,국민 일자리 벼룩시장,의온그룹의료재단 온종합병원,"배식부 구인(7시간근무,초보/주부/외국인가능)",,"1,900,000원 이상",2024-10-22,2999-12-31,부산 부산진구 가야대로 721,무관,무관," 정규직, 계약직","주방·주방보조·설거지, 주방장·조리사",http://www.findjob.co.kr/job/view/0113168528094094/WJ010310/,010-5096-9966,,0,05:30~12:30,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113168528&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""582px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,9
