id,source,company,title,subtitle,salary,signup_date,due_date,region_name,career,education,work_type,work_category,link,contact,work_hours,details,email,certification,preference_id,regionid
1,국민 일자리 벼룩시장,광안다찌,"광안다찌 주방, 홀 직원 구인",,"2,400,000원",2024.08.14,상시채용,부산 수영구 광안해변로344번길 17-20,무관,무관,정규직,"주방·주방보조·설거지, 주방장·조리사, 서빙·포장",http://www.findjob.co.kr/job/view/0113143200094094/WJ010310/,010-3474-0753,"09:00~16:00
휴게시간 포함, 휴게30분",,,,,5
2,국민 일자리 벼룩시장,광안다찌,"광안다찌 주방, 홀 직원 구인",,"2,400,000원",2024.08.14,상시채용,부산 수영구 광안해변로344번길 17-20,무관,무관,정규직,"주방·주방보조·설거지, 주방장·조리사, 서빙·포장",http://www.findjob.co.kr/job/view/0113143200094094/WJ010310/,010-3474-0753,"09:00~16:00
휴게시간 포함, 휴게30분",,,,,5
3,국민 일자리 벼룩시장,광안다찌,"광안다찌 주방, 홀 직원 구인",,"2,400,000원",2024.08.14,상시채용,부산 수영구 광안해변로344번길 17-20,무관,무관,정규직,"주방·주방보조·설거지, 주방장·조리사, 서빙·포장",http://www.findjob.co.kr/job/view/0113143200094094/WJ010310/,010-3474-0753,"09:00~16:00
휴게시간 포함, 휴게30분",,,,,5
4,국민 일자리 벼룩시장,이바구국밥,국밥집 야간 주방 파트1명 주3~4일근무 급여및 조건 면접시결정 주례 냉정역4번출구,,"9,860원",2024.08.14,상시채용,부산 사상구 가야대로 355,무관,무관,"계약직, 아르바이트(파트타임)","주방·주방보조·설거지, 서빙·포장",http://www.findjob.co.kr/job/view/0113143933084084/WJ010310/,"010-4892-3440
문자문의","21:30~09:30
휴게시간 포함, 면접시 협의",,,,,4
5,국민 일자리 벼룩시장,올리브푸드,구내식당 조리보조 /조리원 화목토/ 조리보조 일요일/ 조리원(조리가능자) 금요일 일당11만,,"2,650,000원",2024.08.14,상시채용,부산 기장군 기장읍 기장대로 313,년수무관,무관,"정규직, 계약직, 아르바이트(파트타임)","주방·주방보조·설거지, 요리·서빙 기타",http://www.findjob.co.kr/job/view/0113134684094094/WJ010310/,010-5177-9181,"03:00~12:00
협의가능, 휴게시간 포함, 파트별참조",,,,,2
6,국민 일자리 벼룩시장,올리브푸드,구내식당 조리보조 /조리원 화목토/ 조리보조 일요일/ 조리원(조리가능자) 금요일 일당11만,,"2,650,000원",2024.08.14,상시채용,부산 기장군 기장읍 기장대로 313,년수무관,무관,"정규직, 계약직, 아르바이트(파트타임)","주방·주방보조·설거지, 요리·서빙 기타",http://www.findjob.co.kr/job/view/0113134684094094/WJ010310/,010-5177-9181,"03:00~12:00
협의가능, 휴게시간 포함, 파트별참조",,,,,2
7,국민 일자리 벼룩시장,올리브푸드,구내식당 조리보조 /조리원 화목토/ 조리보조 일요일/ 조리원(조리가능자) 금요일 일당11만,,"2,650,000원",2024.08.14,상시채용,부산 기장군 기장읍 기장대로 313,년수무관,무관,"정규직, 계약직, 아르바이트(파트타임)","주방·주방보조·설거지, 요리·서빙 기타",http://www.findjob.co.kr/job/view/0113134684094094/WJ010310/,010-5177-9181,"03:00~12:00
협의가능, 휴게시간 포함, 파트별참조",,,,,2
8,국민 일자리 벼룩시장,거창맷돌순두부,홀알바 15시30분~20시30분//주방보조알바 11시30분~16시30분,,회사내규에 따름,2024.08.14,상시채용,부산 남구 유엔로 221,무관,무관,위촉직,"서빙·포장, 주방·주방보조·설거지, 요리·서빙 기타",http://www.findjob.co.kr/job/view/0113143151094094/WJ010310/,051-623-6204,"협의가능
협의가능",,,,,8
9,국민 일자리 벼룩시장,거창맷돌순두부,홀알바 15시30분~20시30분//주방보조알바 11시30분~16시30분,,회사내규에 따름,2024.08.14,상시채용,부산 남구 유엔로 221,무관,무관,위촉직,"서빙·포장, 주방·주방보조·설거지, 요리·서빙 기타",http://www.findjob.co.kr/job/view/0113143151094094/WJ010310/,051-623-6204,"협의가능
협의가능",,,,,8
10,국민 일자리 벼룩시장,올리브푸드,구내식당 조리보조 단기알바가능자 15시~20시 주6일 월155만,,"1,550,000원",2024.08.14,상시채용,부산 기장군 철마면 반송로 979,무관,무관,"계약직, 아르바이트(파트타임)","주방·주방보조·설거지, 요리·서빙 기타",http://www.findjob.co.kr/job/view/0113143879094094/WJ010310/,010-9147-0222,15:00~20:00,,,,,2
11,국민 일자리 벼룩시장,올리브푸드,구내식당 조리보조 단기알바가능자 15시~20시 주6일 월155만,,"1,550,000원",2024.08.14,상시채용,부산 기장군 철마면 반송로 979,무관,무관,"계약직, 아르바이트(파트타임)","주방·주방보조·설거지, 요리·서빙 기타",http://www.findjob.co.kr/job/view/0113143879094094/WJ010310/,010-9147-0222,15:00~20:00,,,,,2
12,국민 일자리 벼룩시장,올리브푸드,구내식당 조리보조 단기알바가능자 15시~20시 주6일 월155만,,"1,550,000원",2024.08.14,상시채용,부산 기장군 철마면 반송로 979,무관,무관,"계약직, 아르바이트(파트타임)","주방·주방보조·설거지, 요리·서빙 기타",http://www.findjob.co.kr/job/view/0113143879094094/WJ010310/,010-9147-0222,15:00~20:00,,,,,2
13,국민 일자리 벼룩시장,금강SR테크,"고무프레스 생산직 사원(경력직) 모집합니다, 상여금지급 (명절,여름휴가비)",,"12,000원",2024.08.14,상시채용,부산 강서구 경전철로39번길 38,무관,무관,"정규직, 계약직","생산·제조·조립·인쇄, 기계·설비",http://www.findjob.co.kr/job/view/0006435057081180/WJ010310/,010-9199-8203,08:30~17:30,,,,,7
14,국민 일자리 벼룩시장,금강SR테크,"고무프레스 생산직 사원(경력직) 모집합니다, 상여금지급 (명절,여름휴가비)",,"12,000원",2024.08.14,상시채용,부산 강서구 경전철로39번길 38,무관,무관,"정규직, 계약직","생산·제조·조립·인쇄, 기계·설비",http://www.findjob.co.kr/job/view/0006435057081180/WJ010310/,010-9199-8203,08:30~17:30,,,,,7
15,국민 일자리 벼룩시장,(주)동남리싸이클링,"작업기사,관리자및 플라스틱선별직원(하이카,압축차 운전)",,회사내규에 따름,2024.08.14,상시채용,부산 금정구 동천로 53,무관,무관,위촉직,"청소·미화·방역, 서비스 기타, 화물·중장비·특수차",http://www.findjob.co.kr/job/view/0113119591094094/WJ010310/,"010-6365-0783
문자문의","협의가능
협의가능",,,,,13
16,국민 일자리 벼룩시장,(주)동남리싸이클링,"작업기사,관리자및 플라스틱선별직원(하이카,압축차 운전)",,회사내규에 따름,2024.08.14,상시채용,부산 금정구 동천로 53,무관,무관,위촉직,"청소·미화·방역, 서비스 기타, 화물·중장비·특수차",http://www.findjob.co.kr/job/view/0113119591094094/WJ010310/,"010-6365-0783
문자문의","협의가능
협의가능",,,,,13
