id,source,title,organization,application_start,application_end,progress_start,progress_end,situation,apply,link,phone,manager,charge,email,view_details_link,details,instructor,tuition,teaching_method,capacity,place,support,views,preference_id,region_id
1,부산일자리정보망,내항상선 5급 해기사 단기 양성과정,한국해양수산연수원,2024-10-22 09:00:00,2024-12-20 18:00:00,2025-02-03,2025-06-27,접수중,기타,https://kimft.recruitlab.co.kr/,051-620-5773~4,오션폴리텍해운팀,오션폴리텍해운팀,-,https://www.busanjob.net/03_part/part01_view.asp?idx=17909&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<div align=""center""><span>누구나 6개월만에 항해사, 기관사로 새출발 가능!</span></div><div align=""center""><b>🥽내항상선 5급 해기사 단기 양성과정🥽</b></div><div align=""center""><span>""40대는 물론, 50대 초반까지 지원 가능</span></div><div align=""center""><span>연안여객선, 화물선, 예인선 등 승선근무""</span></div><div align=""center""><b>🚢교육일정🚢</b></div><div align=""center""><span>⚓모집인원 : 60명 (항해 30명/기관 30명)</span></div><div align=""center""><span>⚓원서접수 : 2024.11.04.(월) ~ 12.20.(금)</span></div><div align=""center""><span>⚓교육기간 : 2025.02.03.(월) ~ 06.27.(금)</span></div><div align=""center""><b>🚢접수처🚢</b></div><div align=""center""><span>kimft.recruitlab.co.kr</span></div><div align=""center""><b>🚢문의처🚢</b></div><div align=""center""><span>보다 구체적인 상담은 051-620-5773~4(오션폴리텍해운팀)으로 연락주세요.</span></div><div align=""center""><b>🚢특전🚢</b></div><div align=""center""><b>⚓교육과정 중 교육생의 비용 부담은 ""제로""⚓</b></div><div align=""center""><span>- 취업률 100% 보장</span></div><div align=""center""><span>- 월 20만원 훈련수당</span></div><div align=""center""><span>- 교육비, 교재비, 숙식비 무료</span></div><div align=""center""><b>⚓수료 후 승선실습 1개월 마치면 면허 취득⚓</b></div><div align=""center""><span>- 짧은 교육기간으로 면허 취득</span></div><div align=""center""><span>- 초봉 4천만원 중반~후반(초고속 진급, 의식주 해결)</span></div><div align=""center""><span>- 먼 바다에 나가지 않고 우리나라 주변 해역 항해</span></div><div align=""center""><b>⚓한국해운조합 지원사항⚓</b></div><div align=""center""><span>- 1개월 선사실습 종료 후 실습지원금(1인당 50만원) 지원 &amp; 장기승선(6개월 이상) 시 1인당 300만원 지급</span></div><div align=""center""><b>⚓70세까지 제2의 인생⚓</b></div><div align=""center""><span>중장년들의 제2의 인생 설계의 기회, 건강하고 승선의지만 있다면 정년없이 근무가능</span></div><div align=""center""><b>⚓최첨단 교육장비⚓</b></div><div align=""center""><span>선박조종 시뮬레이터, 기관실 시뮬레이터, 실습선 등 세계적 수준의</span></div><div align=""center""><span>교육장비를 통해 실무위주의 교육 시행</span></div><div align=""center""><b>⚓세계 최고 수준의 교수진⚓</b></div><div align=""center""><span>선장·기관장 출신 교육진들이 맞춤형 교육과정을 통해 교육생들에게 해기지식과 실무능력 전수</span></div><div align=""center""><b>⚓최상의 교육환경⚓</b></div><div align=""center""><span>전용 강의실, 생활관, 도서관 등 교육생들이 학습에 전념할 수 있는 교육환경 제공</span></div><div align=""center""><b>⚓평생 배만 타야하냐고? 아니!⚓</b></div><div align=""center""><span>해운회사, 조선소, 중공업의 선박관리 전문가, 해양관련 교육기관의 교관, 교사,</span></div><div align=""center""><span>공무원, 해양경찰 등 해양특수분야 전문가로 육상 진출경로 다양</span></div><div align=""center""><b>⚓지원자격이 어떻게 되냐고?⚓</b></div><div align=""center""><span>나이제한 없이, 전공에 관계없이</span></div><div align=""center""><span>누구나 지원할 수 있어!</span></div><div align=""center""><b>🚢상선5급 수료생 인터뷰🚢</b></div><div align=""center""><b>⚓기관과 수료생⚓</b></div><div align=""center""><span>전문기술 습득을 통해 60세 이후까지 안정적으로</span></div><div align=""center""><span>연안급유선에 근무하며 남부럽지않은 생활을 하고 있습니다.</span></div><div align=""center""><b>⚓항해과 수료생⚓</b></div><div align=""center""><span>체대를 졸업하였지만, 오션폴리텍 교육과정을 거쳐</span></div><div align=""center""><span>연안 여객선 항해사로 행복하게 제2의 인생을 살고 있습니다.</span></div><div align=""center""><span><br/><br/><br/><br/>​</span></div><p> </p><p> </p>
</div>",,,,,,,0,,1
2,부산일자리정보망,외항상선 3급 해기사 양성과정,한국해양수산연수원,2024-10-22 09:00:00,2024-12-20 18:00:00,2025-02-03,2025-12-19,접수중,기타,https://kimft.recruitlab.co.kr/,051-620-5773~4,한국해양수산연수원,한국해양수산연수원,-,https://www.busanjob.net/03_part/part01_view.asp?idx=17907&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<div align=""center""><span>🛳️2025년 제33기 상선3급 교육일정🛳️</span></div><div align=""center""><span>---------------------------------------------------</span><span>​</span></div><div align=""center""><b>🛟원서접수</b> : 2024.11.04.(월)~ 12.20.(금)</div><div align=""center""><b>🛟교육기간 </b>: 2025.02.03.(월) ~ 12.19.(금)</div><div align=""center""><span>연수원 11개월 (육상교육 6개월 + 실습교육 5개월)</span></div><div align=""center""><span>+</span></div><div align=""center""><span>선박회사실습 7개월 = 총 18개월</span></div><div align=""center""><span>---------------------------------------------------</span></div><div align=""center""><span>⚓최첨단 교육장비</span><span>⚓</span><span>​</span></div><div align=""center""><span>선박조종 시뮬레이터, 기관실 시뮬레이터, 실습선 등 세계적 수준의 교육장비를 통해 실무위주의 교육시행</span></div><div align=""center""><span>⚓세계 최고 수준의 교수진</span><span>⚓</span><span>​</span></div><div align=""center""><span>선장·기관장 출신 교육진들이 맞춤형 교육과정을 통해 교육생들에게 해기지식과 실무능력 전수</span></div><div align=""center""><span>⚓최상의 교육환경</span><span>⚓</span><span>​</span></div><div align=""center""><span>전용 강의실, 생활관, 도서관 등 교육생들이 학습에 전념할 수 있는 교육환경 제공</span></div><div align=""center""><span>⚓평생 배만 타야하냐고? 아니!</span><span>⚓</span><span>​</span></div><div align=""center""><span>- 해운회사, 조선소, 중공업의 선박 관리 전문가</span></div><div align=""center""><span>- 해양 관련 교육기관의 교수, 연구원, 공무원, 해양경찰</span></div><div align=""center""><span>- 해양플랜트 등 해양특수분야 전문가 등 육상 진출경로 다양</span></div><div align=""center""><span>⚓지원 자격이 어떻게 되냐고?</span><span>⚓</span><span>​</span></div><div align=""center""><span>- 나이 제한없이(*업계 선호 연령 20~40대) 전공불문</span></div><div align=""center""><span>- 전문대 이상 졸업자 또는 80학점 이상 취득하였다면!</span></div><div align=""center""><span>누구나 지원할 수 있어요!</span></div><div align=""center"">자세한 내용은 상단의 링크를 클릭하세요!</div><p> </p>
</div>",,,,,,,0,,1
3,부산일자리정보망,2024년도 부산 S.F 리빙랩 시민연구단 2기 모집공고,에스큐브디자인랩,2024-10-21 09:00:00,2024-11-01 18:00:00,2024-10-21,2024-11-01,접수중,이메일,,051-510-7026,RIS 대학교육혁신본부,RIS 대학교육혁신본부,jinuk0330@pusan.ac.kr,https://www.busanjob.net/03_part/part01_view.asp?idx=17897&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<div align=""center""><b>부산 S.F 리빙랩 시민연구단 2기 모집</b></div><div align=""center""><span>참가 대상: 주제에 관심있는 부산시민 35명 내외</span></div><div align=""center""><span>지원 유형: 5명 이하 팀으로 지원(개인지원도 가능)</span></div><div align=""center""><span>주요 내용: 부산의 해양 및 지역사회문제를 발굴하고 해결 아이디어를 제안하는 리빙랩</span></div><div align=""center"">신청 기한: <b>2024. 10. 21.(월) ~ 11.1.(금)</b></div><div align=""center""><span>자세한 내용은 첨부파일을 참조해주세요!</span></div><p> </p>
</div>",,,,,,,0,,1
4,부산일자리정보망,2024년도 부산 S.F 리빙랩 지역현안 공모전 모집공고,에스큐브디자인랩,2024-10-21 09:00:00,2024-11-06 18:00:00,2024-10-21,2024-11-06,접수중,이메일,,051-510-7026,RIS 대학교육혁신본부,RIS 대학교육혁신본부,jinuk0330@pusan.ac.kr,https://www.busanjob.net/03_part/part01_view.asp?idx=17896&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<div align=""center""><b>부산 S.F 리빙랩 지역현안 공모전</b></div><div align=""center""><span>목적: 부산 지역의 해양과 지속가능한 미래를 위한</span></div><div align=""center""><span>문제발굴과 창의적인 해결 아이디어 제안 공모</span></div><div align=""center""><span>참가 대상: 주제에 관심있는 부산시민</span></div><div align=""center""><span>지원 유형: 5명 이하 팀으로 신청(개인지원도 가능)</span></div><div align=""center""><span>신청 기한: 2024. 10. 21.(월) ~ 11. 6.(수)​</span></div><div align=""center""><span>자세한 내용은 첨부파일을 참고해주세요!</span></div>
</div>",,,,,,,0,,1
5,부산일자리정보망,2024년 수영구민 취업프로젝트 ′함께 잡(JOB)아요! 내 일(JOB)′『수영구청 일반경비원 양성교육 과정』,부산광역시 수영구청,2024-10-21 09:00:00,2024-11-12 18:00:00,2024-11-18,2024-11-20,접수중,방문,,051-610-4830,이춘우,일자리경제과,korea0160@korea.kr,https://www.busanjob.net/03_part/part01_view.asp?idx=17801&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<div align=""center""><span>2024년 수영구민 취업프로젝트 ′함께 잡(JOB)아요! 내 일(JOB)′</span></div><div align=""center""><b></b><font face=""굴림, gulim""><b>『수영구청 일반경비원 양성교육 과정』</b></font></div><div align=""center""><span 0pt;="""" 9pt;""="""" bold;="""" font-size:="""" font-weight:="""" letter-spacing:="""" 고딕"";="""" 맑은="""">✔️</span><span>​ </span><span>교육내용 : 일반경비원 신임교육 이수증 수료 과정</span></div><div align=""center""><b></b><span 0pt;="""" 9pt;""="""" bold;="""" font-size:="""" font-weight:="""" lang=""EN-US"" letter-spacing:="""" 고딕"";="""" 맑은="""">😀</span><span 0pt;="""" 9pt;""="""" bold;="""" font-size:="""" font-weight:="""" letter-spacing:="""" 고딕"";="""" 맑은="""">​</span><span>​</span><span> 교육대상 :  수영구 거주 중장년 미취업자 ▷미달시 타지역주민 참여</span></div><div align=""center""><b></b><span 0pt;="""" 9pt;""="""" bold;="""" font-size:="""" font-weight:="""" lang=""EN-US"" letter-spacing:="""" 고딕"";="""" 맑은="""">🕑</span><span 0pt;="""" 9pt;""="""" bold;="""" font-size:="""" font-weight:="""" letter-spacing:="""" 고딕"";="""" 맑은="""">​</span><span>​</span><span> 교육기간 : 2024. 11.18.(월) ~ 11.20.(수) 09:00 ~ 18:00(1일 8시간, 총3일 24시간)</span></div><div align=""center""><span 0pt;="""" 9pt;""="""" bold;="""" font-size:="""" font-weight:="""" letter-spacing:="""" 고딕"";="""" 맑은="""">✔️</span><span>​</span><span>모집기간 : 2024. 10.21.(월) ~ 11.12.(화)</span></div><div align=""center""><b></b><span 0pt;="""" 9pt;""="""" bold;="""" font-size:="""" font-weight:="""" lang=""EN-US"" letter-spacing:="""" 고딕"";="""" 맑은="""">👉</span><span 0pt;="""" 9pt;""="""" bold;="""" font-size:="""" font-weight:="""" letter-spacing:="""" 고딕"";="""" 맑은="""">​</span><span>​</span><span> 접수방법 : </span></div><div align=""center""><span>①</span><span>수영구일자리종합센터 본인(신분증 지참) 근무시간(09:00~17:00) 내 방문 접수</span></div><div align=""center""><span>②</span><span>네이버폼 접수 : https://naver.me/IDFiRIjt</span><span>​</span></div><div align=""center""><span 0pt;="""" 9pt;""="""" bold;="""" font-size:="""" font-weight:="""" letter-spacing:="""" 고딕"";="""" 맑은="""">✔️</span><span>​</span><span> 교육비 : 교육비 전액 지원</span></div><div align=""center""><span> 수영구 일자리종합센터 </span><span 0pt;="""" 9pt;""="""" bold;="""" font-size:="""" font-weight:="""" letter-spacing:="""" 고딕"";="""" 맑은="""">☎ 051-</span><span 0pt;="""" 9pt;""="""" bold;="""" font-size:="""" font-weight:="""" lang=""EN-US"" letter-spacing:="""" 고딕"";="""" 맑은="""">610-4831 </span><span>​</span><span>​</span></div><p> </p><p> </p>
</div>",,,,,,,0,,5
6,부산일자리정보망,★부기투어★2024 부산 잡(JOB) 페스티벌,부산경제진흥원,2024-10-14 09:00:00,2024-10-22 23:00:00,2024-10-24,2024-10-24,접수마감,온라인,,051-636-8739,김민지,부산 운영 사무국,job2649@eduinjob.co.kr,https://www.busanjob.net/03_part/part01_view.asp?idx=17568&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<p align=""center""><br/> </p><p align=""left""><u><span> ※</span><span>부기투어 1회차(11:00~11:30) - 신청 마감 </span></u><u><span>​</span></u></p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p>
</div>",,,,,,,0,,1
7,부산일자리정보망,★공공기관&부산우수기업설명회★2024 부산 잡(JOB) 페스티벌,부산경제진흥원,2024-10-14 09:00:00,2024-10-22 23:00:00,2024-10-24,2024-10-24,접수마감,온라인,,051-636-8739,김민지,부산 운영 사무국,job2649@eduinjob.co.kr,https://www.busanjob.net/03_part/part01_view.asp?idx=17567&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<p align=""center""><br/> </p><p><span><u>※ 코끼리공장(13:30~14:00) 사전신청 마감 </u></span></p><p><span><u>※ 한국자산관리공사(14:10~14:40) 사전신청 마감 </u></span><b>​​</b></p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p>
</div>",,,,,,,0,,1
8,부산일자리정보망,제7차 신중년 채용직무설명회,부산광역시 장노년일자리지원센터,2024-10-07 09:00:00,2024-10-25 13:00:00,2024-10-29,2024-10-29,접수중,온라인,,051-862-6303,김소현,장노년일자리혁신팀,bcjcenter@hanmail.net,https://www.busanjob.net/03_part/part01_view.asp?idx=17399&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<p></p><p></p><p><span 14pt;="""" 255);""="""" 255,="""" 85);="""" 85,="""" background:="""" bold;="""" color:="""" font-size:="""" font-weight:="""" rgb(255,="""" rgb(85,="""" 고딕"";="""" 맑은="""">새로운 길을 찾는 신중년을 위한 채용</span><span 0pt;="""" 14pt;="""" 255);""="""" 255,="""" 85);="""" 85,="""" background:="""" bold;="""" color:="""" font-size:="""" font-weight:="""" letter-spacing:="""" rgb(255,="""" rgb(85,="""" 고딕"";="""" 맑은="""">‧</span><span 14pt;="""" 255);""="""" 255,="""" 85);="""" 85,="""" background:="""" bold;="""" color:="""" font-size:="""" font-weight:="""" rgb(255,="""" rgb(85,="""" 고딕"";="""" 맑은="""">직무설명회</span><span 0pt;="""" 14pt;="""" 255);""="""" 255,="""" 85);="""" 85,="""" background:="""" bold;="""" color:="""" font-size:="""" font-weight:="""" lang=""EN-US"" letter-spacing:="""" rgb(255,="""" rgb(85,="""" 고딕"";="""" 맑은="""">, </span><span 14pt;="""" 255);""="""" 255,="""" 85);="""" 85,="""" background:="""" bold;="""" color:="""" font-size:="""" font-weight:="""" rgb(255,="""" rgb(85,="""" 고딕"";="""" 맑은="""">새로운 직무에 대한 맞춤 지원서비스를 통한 일자리 기회를 마련하세요</span><span 0pt;="""" 14pt;="""" 255);""="""" 255,="""" 85);="""" 85,="""" background:="""" bold;="""" color:="""" font-size:="""" font-weight:="""" lang=""EN-US"" letter-spacing:="""" rgb(255,="""" rgb(85,="""" 고딕"";="""" 맑은="""">!</span></p><p class=""0""> <o:p></o:p></p><p class=""0""><span>❍ </span><span>제7차</span><span> 신중년 채용직무설명회 </span><span lang=""EN-US"">""GS</span><span>리테일</span><span lang=""EN-US"">-</span><span>우리동네 도보배달원</span><span lang=""EN-US"">""</span></p><p class=""0""><span lang=""EN-US"">- </span><span>′</span><span>우리동네 딜리버리</span><span>′ </span><span>앱을 활용하여 언제 어디서든 누구나 장비없이 손쉽게 일할 수 있는 친환경 배달 플랫폼 교육 지원</span></p><p class=""0""><span lang=""EN-US"">- </span><span>저중량 상품 위주로 내가 원하는 시간에 자유롭게 배달활동 </span><span lang=""EN-US"">(</span><span>생필품</span><span lang=""EN-US"">, </span><span>식료품 등</span><span lang=""EN-US"">)</span></p><p class=""0""><span lang=""EN-US"">- </span><span>건별 </span><span lang=""EN-US"">2,000</span><span>원</span><span lang=""EN-US"">~3,600</span><span>원</span><span lang=""EN-US"">, </span><span>물품</span><span lang=""EN-US"">/</span><span>거리별 상이</span></p><p class=""0""></p><p class=""0""><span>❍ </span><span>신청기간</span><span lang=""EN-US"">: 2024</span><span>년 10</span><span>월 7</span><span>일</span><span lang=""EN-US"">(</span><span>월</span><span lang=""EN-US"">) ~ 10</span><span>월 </span><span lang=""EN-US"">25</span><span>일</span><span lang=""EN-US"">(금</span><span lang=""EN-US"">) 13</span><span>시 </span><span lang=""EN-US"">/ </span><span>선발 후 10</span><span>월 </span><span lang=""EN-US"">28</span><span>일</span><span lang=""EN-US"">(월</span><span lang=""EN-US"">) 이내 </span><span>개별연락</span></p><p class=""0""></p><p class=""0""><span>❍ </span><span>모집대상</span><span lang=""EN-US"">: </span><span>부산 소재의 만</span><span lang=""EN-US"">50</span><span>세</span><span lang=""EN-US"">~</span><span>만</span><span lang=""EN-US"">69</span><span>세 </span><span lang=""EN-US"">/ 40</span><span>명</span></p><p class=""0""></p><p><span>❍ </span><span>조건</span><span lang=""EN-US"">: </span><span>스마트폰사용 및 모바일데이터 사용 가능자</span><span lang=""EN-US"">(</span><span>노인일자리 참여자</span><span lang=""EN-US"">, </span><span>실업급여 대상자 제외</span><span lang=""EN-US"">)</span></p><p></p><p><span>❍</span><span> 진행일시: 2024년 10월 29일(화) 13시~17시</span><span>​</span></p><p></p><p class=""0""><span>❍ </span><span>신청방법: 온라인 신청</span><span>☞주소클릭 </span>(<a href=""https://docs.google.com/forms/d/1u__CV3op1go-J4x2JlmeE-NUAFMuSg6pgHJkhzGLTDA/edit"" target=""_self"">https://docs.google.com/forms/d/1u__CV3op1go-J4x2JlmeE-NUAFMuSg6pgHJkhzGLTDA/edit</a>)</p><p class=""0""> </p><p class=""0""><span>❍신청관련 문의 : 부산광역시 장노년일자리지원센터 김소현 주임(070-4048-7097)</span>​</p> ​<p> </p><p> </p><p> </p><p> </p><p> </p><p> </p>
</div>",,,,,,,0,,1
9,부산일자리정보망,DX-Academy 기초역량 교육 수강생 모집,부산여자대학교,2024-08-30 09:00:00,2024-12-31 18:00:00,2024-08-30,2024-12-31,접수중,기타,https://docs.google.com/forms/d/1utbZFRGYVrpA7YveFl40TcatshOnqe8-mAhcMDdIXiI/viewform?edit_requested=true,051-850-5919,DX교육운영센터,DX교육운영센터,-,https://www.busanjob.net/03_part/part01_view.asp?idx=16243&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<span>👨신청안내</span><span>👩</span><div><span>• 모집대상 : 신중장년층 (35세 ~ 60세)</span></div><div><span>• 신청기한 : 상시 신청 가능</span></div><div><span>• 신청방법 : 전화문의 / 신청 QR코드로 신청서 작성</span></div><div><span>↓</span><span>​ </span><span>신청링크 ↓</span></div><div><a href=""https://docs.google.com/forms/d/1utbZFRGYVrpA7YveFl40TcatshOnqe8-mAhcMDdIXiI/viewform?edit_requested=true"" target=""_blank""><span>https://docs.google.com/forms/d/1utbZFRGYVrpA7YveFl40TcatshOnqe8-mAhcMDdIXiI/viewform?edit_requested=true</span></a><span>​</span></div><div><span>👨</span><span>​</span><span>주요내용</span><span>👩</span><span>​</span></div><div><span>• 교육 일정 : 과정별 정원 모집 완료 시 교육 진행 예정 (과정당 40명)</span></div><div><span>• 교육 장소 : 부산여자대학교(한 소속 내 다수인원 신청시 출장교육 가능)</span></div><div><span>• 참여 비용: 전액 무료</span></div><div><span>👨</span><span>​</span><span>교육과정</span><span>👩</span><span>​</span></div><div><span>• EHS AI 슈퍼바이저 양성 과정 : 데이터 레이블러, 어노페이션 라벨링 실무 고도화</span></div><div><span>• EHS RM 슈퍼바이저 양성 과정 : 위험관리 시스템 리뷰어 실무</span></div><div><span>👨</span><span>​</span><span>​</span><span>참여혜택</span><span>👩</span><span>​</span></div><div><span>• 교육 과정멸 전문 수료증 발급</span></div><div><span>• 교육생 1:1 개인별 직무전환 멘토링</span></div><div><span>• 산업체 전문가 특강 진행</span></div><div><span>• 취창업 프로그램 진행</span></div><div><span>• 문의사항 : 부산여자대학교 DX교육운영센터로 전화문의</span></div><div><span>              051) 850-3053 / 051) 850-5919</span><br/></div><div><span><br/>​</span></div><p> </p><p> </p><p> </p>
</div>",,,,,,,0,,1
10,부산일자리정보망,리터러시 강화교육 수강생 모집,부산여자대학교,2024-08-12 09:00:00,2024-12-31 18:00:00,2024-08-12,2024-12-31,접수중,기타,https://docs.google.com/forms/d/1s43U9EgOmVxQu-jvrXLL1hZHfgSpfDz1paLiWQ6uV9A/edit,051-850-3053,DX교육운영센터,DX교육운영센터,-,https://www.busanjob.net/03_part/part01_view.asp?idx=15580&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<div align=""center""><b>DX-Academy</b></div><div align=""center""><b>리터러시 강화교육 수강생 모집</b></div><div><b>*신청안내*</b></div><div><span>- 모집대상 : 신중장년층(35세~60세)</span></div><div><span>- 신청기한 : 상시 신청 가능</span></div><div><span>- 신청방법 : 전화문의 / 신청 QR로 신청서 작성</span></div><div><span>- 문의사항 : 부산여자대학교 DX 교육운영센터로 전화문의(051-850-3053 / 051-850-5919)</span></div><div><b>*주요내용*</b></div><div><span>- 교육일정 : 과정별 정원 모집 완료 시 교육진행 예정(과정당 20명)</span></div><div><span>- 교육장소 : 부산여자대학교(한 소속 내 다수인원 신청시 출장교육 가능)</span></div><div><span>- 참여비용 : 전액 무료</span></div><div><b>*교육과정*</b></div><div><span>- 건강관리를 위한 스마트 기기활용</span></div><div><span>- Social - Service Tech 역량교육</span></div><div><span>- 보건의료서비스분야 DX역량</span></div><div><span>- 디지털콘텐츠 활용 건강관리 역량교육</span></div><div><b>*참여혜택*</b></div><div><span>- 교육과정별 전문 수료증 발급</span></div><div><span>- 교육생 1:1개인별 직무전환 멘토링</span></div><div><span>- 산업체 전문가 특강 진행</span></div><div><span>- 취창업 프로그램 진행</span></div><div><b>*DX리터러시 강화교육*</b></div><div><span>- 모집인원 : 20명(50%)</span></div><div><span>- 성적우수생 : 1(5%) / 15만원</span></div><div><span>- 우수교육참여생 : 3(15%) / 10만원</span></div><div><span>- 우수참여 및 교육지원 : 6(30%) / 5만원</span></div><p></p>
</div>",,,,,,,0,,1
