강좌명,학습기관,학습기간,접수기간,강사명,수강료,교육방법,교육대상,교육주기,교육정원,교육장소,교육문의전화,접수방법,직업능력개발_훈련비지원,교육공고_링크,조회수
[가족] 즐거운 크리스마스 쿠키 만들기,사하구평생학습관,2024.12.21 ~ 2024.12.21,2024.08.22 ~ 2024.12.14,"한선녀,강대선",무료,Offline (오프라인),기타,토 | 10:00 ~ 12:00,20,사하구평생학습관,051-220-5546~8,온라인접수,수강료 미지원,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5650,0
(12/6) 크리스마스 수제종이 오브제 모빌 DIY,북구평생학습관,2024.12.06 ~ 2024.12.06,2024.08.16 ~ 2024.11.29,,5000원,Offline (오프라인),일반성인,금,15,만덕도서관 강좌실,,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2447,0
(12/5) 마음챙김으로 스트레스 다스리기,북구평생학습관,2024.12.05 ~ 2024.12.05,2024.08.16 ~ 2024.11.28,,무료,Offline (오프라인),일반성인,목,15,만덕도서관 다목적실,,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2446,0
11월 27일 들락날락 유아과학교실 &lt;미니 현미경 관찰&gt; 단체,영도구평생학습관,2024.11.27 ~ 2024.11.27,2024.08.13 ~ 2024.11.18,,무료,Offline (오프라인),기타,,1,지하1층 지혜+(강의실),051-419-4834,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2857,0
[장애인식개선교육] (11/26) 시각장애 공감하기,북구평생학습관,2024.11.26 ~ 2024.11.26,2024.09.30 ~ 2024.11.22,,무료,Offline (오프라인),일반성인,화,12,만덕도서관 3층 회의실,051-309-6172,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2470,0
30.[동대신1동골목시장] 캘리그라피 한지모자이크 액자,서구평생학습관,2024.11.22 ~ 2024.11.22,2024.10.15 ~ 2024.11.21,,무료,,고등학생,,15,동대신1동 주민센터 2층,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1712&menuCd=DOM_000000703001004000,0
29.[동대신1동골목시장] 원목 하바리움 무드등,서구평생학습관,2024.11.22 ~ 2024.11.22,2024.10.15 ~ 2024.11.21,,무료,,고등학생,,15,동대신1동 주민센터 2층,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1711&menuCd=DOM_000000703001004000,0
20.[서대신동골목시장] 투자선택 프로세스,서구평생학습관,2024.11.21 ~ 2024.11.21,2024.10.15 ~ 2024.11.20,,무료,,고등학생,,15,서대신동골목시장(짬짬이 작은도서관 2층),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1702&menuCd=DOM_000000703001004000,0
19.[서대신동골목시장] 머라밸(머니 라이프 밸런스)이 뭐꼬,서구평생학습관,2024.11.21 ~ 2024.11.21,2024.10.15 ~ 2024.11.20,,무료,,고등학생,,15,서대신동골목시장(짬짬이 작은도서관 2층),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1701&menuCd=DOM_000000703001004000,0
10.[충무동 새벽시장] 압화자개 미니소반,서구평생학습관,2024.11.20 ~ 2024.11.20,2024.10.15 ~ 2024.11.19,,무료,,고등학생,,10,충무동 새벽시장 상인회 1층(공영주차장 건물),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1692&menuCd=DOM_000000703001004000,0
9.[충무동 새벽시장] 귀여운 달빛 고양이 레진키링,서구평생학습관,2024.11.20 ~ 2024.11.20,2024.10.15 ~ 2024.11.19,,무료,,고등학생,,10,충무동 새벽시장 상인회 1층(공영주차장 건물),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1691&menuCd=DOM_000000703001004000,0
28.[동대신1동골목시장] 2025년 꼭 알아야 할 디지털 금융트랜드,서구평생학습관,2024.11.15 ~ 2024.11.15,2024.10.15 ~ 2024.11.14,,무료,,고등학생,,15,동대신1동 주민센터 2층,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1710&menuCd=DOM_000000703001004000,0
27.[동대신1동골목시장] 경제공부가 어려운 당신의 선택 간접투자,서구평생학습관,2024.11.15 ~ 2024.11.15,2024.10.15 ~ 2024.11.14,,무료,,고등학생,,15,동대신1동 주민센터 2층,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1709&menuCd=DOM_000000703001004000,0
18.[서대신동골목시장] 라탄 트레이 만들기,서구평생학습관,2024.11.14 ~ 2024.11.14,2024.10.15 ~ 2024.11.13,,무료,,고등학생,,15,서대신동골목시장(짬짬이 작은도서관 2층),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1700&menuCd=DOM_000000703001004000,0
17.[서대신동골목시장] 업사이클링 바다유리 레진공예 그립톡,서구평생학습관,2024.11.14 ~ 2024.11.14,2024.10.15 ~ 2024.11.13,,무료,,고등학생,,15,서대신동골목시장(짬짬이 작은도서관 2층),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1699&menuCd=DOM_000000703001004000,0
11월 13일 들락날락 유아과학교실 &lt;미니 현미경 관찰&gt; 단체,영도구평생학습관,2024.11.13 ~ 2024.11.13,2024.08.13 ~ 2024.11.01,,무료,Offline (오프라인),기타,,1,지하1층 지혜+(강의실),051-419-4834,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2856,0
"(11/13) 색채인문학! 색을 활용한 소통방법, 색채로 말하다",북구평생학습관,2024.11.13 ~ 2024.11.13,2024.08.16 ~ 2024.11.06,,무료,Offline (오프라인),일반성인,수,20,만덕도서관 다목적실,,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2445,0
7.[충무동 새벽시장] 가을 겨울에 딱 어울리는 캔들,서구평생학습관,2024.11.13 ~ 2024.11.13,2024.10.15 ~ 2024.11.12,,무료,,고등학생,,10,충무동 새벽시장 상인회 1층(공영주차장 건물),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1689&menuCd=DOM_000000703001004000,0
8.[충무동 새벽시장] 페이퍼아트 다육이 화분,서구평생학습관,2024.11.13 ~ 2024.11.13,2024.10.15 ~ 2024.11.12,,무료,,고등학생,,10,충무동 새벽시장 상인회 1층(공영주차장 건물),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1690&menuCd=DOM_000000703001004000,0
[BLESS 4U] (11/12) 마음을 전달하는 시낭송과 함께,북구평생학습관,2024.11.12 ~ 2024.11.12,2024.10.16 ~ 2024.11.08,,무료,Offline (오프라인),일반성인,화,12,만덕도서관 3층 회의실,051-309-6172,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2473,0
26.[동대신1동골목시장] 실전에서 확실하게 써먹는 등기부등본 읽는 법,서구평생학습관,2024.11.08 ~ 2024.11.08,2024.10.15 ~ 2024.11.07,,무료,,고등학생,,15,동대신1동 주민센터 2층,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1708&menuCd=DOM_000000703001004000,0
11월 폴짝폴짝 체험형 동화구연(11.8.) A반,영도구평생학습관,2024.11.08 ~ 2024.11.08,2024.10.22 ~ 2024.11.07,이근희,무료,Offline (오프라인),기타,,7,영도도서관 지하1층 폴짝폴짝,051-419-4834,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2941,0
25.[동대신1동골목시장] 돈 버는 경매 돈 버리는 경매,서구평생학습관,2024.11.08 ~ 2024.11.08,2024.10.15 ~ 2024.11.07,,무료,,고등학생,,15,동대신1동 주민센터 2층,051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1707&menuCd=DOM_000000703001004000,0
11월 폴짝폴짝 체험형 동화구연(11.8.) B반,영도구평생학습관,2024.11.08 ~ 2024.11.08,2024.10.22 ~ 2024.11.07,이근희,무료,Offline (오프라인),기타,,7,영도도서관 지하1층 폴짝폴짝,051-419-4834,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2942,0
똑똑한 엔트리 코딩 활용,영도구평생학습관,2024.11.07 ~ 2024.12.05,2024.10.22 ~ 2024.11.06,,무료,Offline (오프라인),기타,,15,영도도서관 지하1층 지혜+(강의실),051-419-4834,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2938,0
16.[서대신동골목시장] 휴대하기 좋은 고체향수(2p),서구평생학습관,2024.11.07 ~ 2024.11.07,2024.10.15 ~ 2024.11.06,,무료,,고등학생,,15,서대신동골목시장(짬짬이 작은도서관 2층),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1698&menuCd=DOM_000000703001004000,0
15.[서대신동골목시장] 가을 안티에이징 DIY크림,서구평생학습관,2024.11.07 ~ 2024.11.07,2024.10.15 ~ 2024.11.06,,무료,,고등학생,,15,서대신동골목시장(짬짬이 작은도서관 2층),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1697&menuCd=DOM_000000703001004000,0
그림책 감성테라피,영도구평생학습관,2024.11.06 ~ 2024.11.20,2024.10.15 ~ 2024.11.05,,무료,Offline (오프라인),기타,,10,,051-419-4832,온라인접수,수강료 미지원,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2936,0
6.[충무동 새벽시장] 모루플라워 꽃다발 만들기,서구평생학습관,2024.11.06 ~ 2024.11.06,2024.10.15 ~ 2024.11.05,,무료,,고등학생,,10,충무동 새벽시장 상인회 1층(공영주차장 건물),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1688&menuCd=DOM_000000703001004000,0
[평생학습 아카데미] (11/6) 한병창 초청강연,북구평생학습관,2024.11.06 ~ 2024.11.06,2024.10.16 ~ 2024.11.01,,무료,Offline (오프라인),일반성인,수,320,북구 문화예술회관 공연장,051-309-4162,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2471,0
5.[충무동 새벽시장] 다용도 리얼카드지갑 제작,서구평생학습관,2024.11.06 ~ 2024.11.06,2024.10.15 ~ 2024.11.05,,무료,,고등학생,,10,충무동 새벽시장 상인회 1층(공영주차장 건물),051-240-4044,온라인접수,수강료 지원,https://www.bsseogu.go.kr/edu/index.bsseogu?el_code=1687&menuCd=DOM_000000703001004000,0
[디지털배움터]스마트폰으로 영상 만들기,사하구평생학습관,2024.11.05 ~ 2024.11.28,2024.08.22 ~ 2024.10.29,박아영,무료,Offline (오프라인),일반성인,목 | 10:00 ~ 12:00,20,사하구평생학습관,051-220-5546~8,온라인접수,수강료 미지원,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5667,0
[디지털배움터]나만의 영상제작반,사하구평생학습관,2024.11.05 ~ 2024.11.28,2024.08.22 ~ 2024.10.29,박아영,무료,Offline (오프라인),일반성인,목 | 10:00 ~ 12:00,20,사하구평생학습관,051-220-5546~8,온라인접수,수강료 미지원,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5667,0
[BLESS 4U] (11/5) 멋진인생 청.바.지(청춘은 바로 지금부터!) 2탄,북구평생학습관,2024.11.05 ~ 2024.11.05,2024.10.16 ~ 2024.11.01,,무료,Offline (오프라인),일반성인,화,12,만덕도서관 3층 회의실,051-309-6172,온라인접수,수강료 미지원,https://www.bsbukgu.go.kr/reservation/index.bsbukgu&menuCd=DOM_000001801002000000&mode=view&programIdx=2472,0
