source,title,organization,application_start,application_end,progress_start,progress_end,apply,link,instructor,phone,tuition,teaching_method,capacity,place,situation,support
부산평생교육정보망,[가족] 즐거운 크리스마스 쿠키 만들기,사하구평생학습관,2024-08-22,2024-12-14,2024-12-21,2024-12-21,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5650,"한선녀,강대선",051-220-5546~8,무료,Offline (오프라인),20,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,(12/6) 크리스마스 수제종이 오브제 모빌 DIY,북구평생학습관,2024-08-16,2024-11-29,2024-12-06,2024-12-06,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2447,,,유료,Offline (오프라인),15,만덕도서관 강좌실,접수중,수강료 미지원
부산평생교육정보망,(12/5) 마음챙김으로 스트레스 다스리기,북구평생학습관,2024-08-16,2024-11-28,2024-12-05,2024-12-05,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2446,,,무료,Offline (오프라인),15,만덕도서관 다목적실,접수중,수강료 미지원
부산평생교육정보망,11월 27일 들락날락 유아과학교실 &lt;미니 현미경 관찰&gt; 단체,영도구평생학습관,2024-08-13,2024-11-18,2024-11-27,2024-11-27,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2857,,051-419-4834,무료,Offline (오프라인),1,지하1층 지혜+(강의실),접수중,수강료 미지원
부산평생교육정보망,11월 13일 들락날락 유아과학교실 &lt;미니 현미경 관찰&gt; 단체,영도구평생학습관,2024-08-13,2024-11-01,2024-11-13,2024-11-13,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2856,,051-419-4834,무료,Offline (오프라인),1,지하1층 지혜+(강의실),접수중,수강료 미지원
부산평생교육정보망,"(11/13) 색채인문학! 색을 활용한 소통방법, 색채로 말하다",북구평생학습관,2024-08-16,2024-11-06,2024-11-13,2024-11-13,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2445,,,무료,Offline (오프라인),20,만덕도서관 다목적실,접수중,수강료 미지원
부산평생교육정보망,[디지털배움터]스마트폰으로 영상 만들기,사하구평생학습관,2024-08-22,2024-10-29,2024-11-05,2024-11-28,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5667,박아영,051-220-5546~8,무료,Offline (오프라인),20,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,[디지털배움터]나만의 영상제작반,사하구평생학습관,2024-08-22,2024-10-29,2024-11-05,2024-11-28,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5667,박아영,051-220-5546~8,무료,Offline (오프라인),20,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,[우리동네 인문학 교실] 시대로 조명해보는 베스트셀러 이야기,북구평생학습관,2024-08-05,2024-10-25,2024-11-01,2024-12-06,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2419,,,무료,Offline (오프라인),10,북구다문화가족지원센터(공동육아나눔터 율리점),접수중,수강료 미지원
부산평생교육정보망,기초 코바늘 뜨기! 패브릭얀을 활용한 기초 뜨개,북구평생학습관,2024-08-16,2024-10-25,2024-11-01,2024-11-29,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2440,,,유료,Offline (오프라인),15,만덕도서관 다목적실,접수중,수강료 미지원
부산평생교육정보망,부산광역시인권센터와 함께하는 시민 인권 아카데미,북구평생학습관,2024-08-16,2024-10-23,2024-10-30,2024-11-20,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2439,,,무료,Offline (오프라인),12,만덕도서관 회의실,접수중,수강료 미지원
부산평생교육정보망,(10/29) 숲해설가와 떠나는 가을숲 나들이 - 금정산 숲길 탐방,북구평생학습관,2024-08-16,2024-10-22,2024-10-29,2024-10-29,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2451,,,무료,Offline (오프라인),20,야외수업(금정산 일대),접수중,수강료 미지원
부산평생교육정보망,(10/26) 가족이 함께 떠나는 숲체험 & 놀이 - 낙엽으로 만드는 무지개 세계,북구평생학습관,2024-08-16,2024-10-19,2024-10-26,2024-10-26,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2450,,,무료,Offline (오프라인),10,야외수업(화명생태공원),접수중,수강료 미지원
부산평생교육정보망,커피 바리스타,영도구평생학습관,2024-09-19,2024-09-30,2024-10-23,2024-12-19,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2905,김효진,--,유료,Offline (오프라인),10,영도장애인복지관,접수중,수강료 미지원
부산평생교육정보망,(10/23) 맛있는 커피의 비밀! 핸드드립 제대로 내리는 법 A to Z,북구평생학습관,2024-08-16,2024-10-16,2024-10-23,2024-10-23,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2444,,,유료,Offline (오프라인),12,만덕도서관 회의실,접수중,수강료 미지원
부산평생교육정보망,"하반기 영어 Story Time With Craft(2018~2019년, 6~7세)",영도구평생학습관,2024-09-11,2024-10-17,2024-10-19,2024-11-30,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2914,최진영,051-419-5673,무료,Offline (오프라인),15,Yellow Class,접수중,수강료 미지원
부산평생교육정보망,하반기 영어 Talk Talk English(2017~2016)초등1~2학년,영도구평생학습관,2024-09-11,2024-10-17,2024-10-19,2024-11-30,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2915,이미숙,051-419-5673,무료,Offline (오프라인),15,Green Class,접수중,수강료 미지원
부산평생교육정보망,(10/19) 숲해설가와 떠나는 가을숲 나들이 - 화지산 편백숲과 식물천연기념물 탐방,북구평생학습관,2024-08-16,2024-10-12,2024-10-19,2024-10-19,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2449,,,무료,Offline (오프라인),20,야외수업(화지산 일대),접수중,수강료 미지원
부산평생교육정보망,(10/19) 숲해설가와 떠나는 가을숲 나들이 - 화지산 편백숲 탐방,북구평생학습관,2024-08-16,2024-10-12,2024-10-19,2024-10-19,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2449,,,무료,Offline (오프라인),20,야외수업(화지산 일대),접수중,수강료 미지원
부산평생교육정보망,가을 따라 숲길 따라 사하林 [산림치유 프로그램],사하구평생학습관,2024-08-22,2024-10-09,2024-10-16,2024-11-20,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5664,김영정외,051-220-5546~8,무료,Offline (오프라인),15,"사하구평생학습관, 승학산 치유의 숲",접수중,수강료 미지원
부산평생교육정보망,[오감만족 문화예술] 가요와 함께 만나는 합창 *10.23 휴강*,사하구평생학습관,2024-08-22,2024-10-09,2024-10-16,2024-11-06,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5663,윤성원,051-220-5546~8,무료,Offline (오프라인),20,사하구평생학습관,접수중,수강료 미지원
부산평생교육정보망,(10/16) 퍼스널 골격(체형) 진단 & 스타일링,북구평생학습관,2024-08-16,2024-10-09,2024-10-16,2024-10-16,온라인,https://www.bsbukgu.go.kr/reservation/index.bsbukgu?menuCd=DOM_000001801002000000&mode=view&programIdx=2443,,,무료,Offline (오프라인),12,만덕도서관 회의실,접수중,수강료 미지원
부산평생교육정보망,하반기 영어 Theme English(원어민)초등1~2학년,영도구평생학습관,2024-09-12,2024-10-10,2024-10-15,2024-11-26,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2916,TIMSander,051-419-5673,무료,Offline (오프라인),15,2층 Multipurpose-room,접수중,수강료 미지원
부산평생교육정보망,하반기 영어 Theme English(원어민)초등1~2학년,영도구평생학습관,2024-09-12,2024-10-10,2024-10-15,2024-11-25,온라인,https://www.yeongdo.go.kr/01791.web?amode=view&idx=2916,TIMSander,051-419-5673,무료,Offline (오프라인),15,2층 Multipurpose-room,접수중,수강료 미지원
부산평생교육정보망,청년을 위한 자산 관리 방법과 기초 재테크 *청년(19~39세) 우선 선발*,사하구평생학습관,2024-08-22,2024-10-08,2024-10-15,2024-11-12,온라인,http://www.saha.go.kr/reserve/lecture/view.do?lecType=1&amp;mId=0101000000&amp;seq=5659,임주은,051-220-5546~8,무료,Offline (오프라인),30,사하구평생학습관,접수중,수강료 미지원
