id,source,title,organization,application_start,application_end,progress_start,progress_end,situation,apply,link,phone,manager,charge,email,view_details_link,details,instructor,tuition,teaching_method,capacity,place,support,views,preference_id,preference_type,region_id
1,부산일자리정보망,제7차 신중년 채용직무설명회,부산광역시 장노년일자리지원센터,2024-10-07 09:00:00,2024-10-25 13:00:00,2024-10-29,2024-10-29,접수중,온라인,,051-862-6303,김소현,장노년일자리혁신팀,bcjcenter@hanmail.net,https://www.busanjob.net/03_part/part01_view.asp?idx=17399&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<p><span 14pt;="""" 255);""="""" 255,="""" 85);="""" 85,="""" background:="""" bold;="""" color:="""" font-size:="""" font-weight:="""" rgb(255,="""" rgb(85,="""" 고딕"";="""" 맑은="""">새로운 길을 찾는 신중년을 위한 채용</span><span 0pt;="""" 14pt;="""" 255);""="""" 255,="""" 85);="""" 85,="""" background:="""" bold;="""" color:="""" font-size:="""" font-weight:="""" letter-spacing:="""" rgb(255,="""" rgb(85,="""" 고딕"";="""" 맑은="""">‧</span><span 14pt;="""" 255);""="""" 255,="""" 85);="""" 85,="""" background:="""" bold;="""" color:="""" font-size:="""" font-weight:="""" rgb(255,="""" rgb(85,="""" 고딕"";="""" 맑은="""">직무설명회</span><span 0pt;="""" 14pt;="""" 255);""="""" 255,="""" 85);="""" 85,="""" background:="""" bold;="""" color:="""" font-size:="""" font-weight:="""" lang=""EN-US"" letter-spacing:="""" rgb(255,="""" rgb(85,="""" 고딕"";="""" 맑은="""">, </span><span 14pt;="""" 255);""="""" 255,="""" 85);="""" 85,="""" background:="""" bold;="""" color:="""" font-size:="""" font-weight:="""" rgb(255,="""" rgb(85,="""" 고딕"";="""" 맑은="""">새로운 직무에 대한 맞춤 지원서비스를 통한 일자리 기회를 마련하세요</span><span 0pt;="""" 14pt;="""" 255);""="""" 255,="""" 85);="""" 85,="""" background:="""" bold;="""" color:="""" font-size:="""" font-weight:="""" lang=""EN-US"" letter-spacing:="""" rgb(255,="""" rgb(85,="""" 고딕"";="""" 맑은="""">!</span></p><p class=""0""><span>❍ </span><span>제7차</span><span> 신중년 채용직무설명회 </span><span lang=""EN-US"">""GS</span><span>리테일</span><span lang=""EN-US"">-</span><span>우리동네 도보배달원</span><span lang=""EN-US"">""</span></p><p class=""0""><span lang=""EN-US"">- </span><span>′</span><span>우리동네 딜리버리</span><span>′ </span><span>앱을 활용하여 언제 어디서든 누구나 장비없이 손쉽게 일할 수 있는 친환경 배달 플랫폼 교육 지원</span></p><p class=""0""><span lang=""EN-US"">- </span><span>저중량 상품 위주로 내가 원하는 시간에 자유롭게 배달활동 </span><span lang=""EN-US"">(</span><span>생필품</span><span lang=""EN-US"">, </span><span>식료품 등</span><span lang=""EN-US"">)</span></p><p class=""0""><span lang=""EN-US"">- </span><span>건별 </span><span lang=""EN-US"">2,000</span><span>원</span><span lang=""EN-US"">~3,600</span><span>원</span><span lang=""EN-US"">, </span><span>물품</span><span lang=""EN-US"">/</span><span>거리별 상이</span></p><p class=""0""><span>❍ </span><span>신청기간</span><span lang=""EN-US"">: 2024</span><span>년 10</span><span>월 7</span><span>일</span><span lang=""EN-US"">(</span><span>월</span><span lang=""EN-US"">) ~ 10</span><span>월 </span><span lang=""EN-US"">25</span><span>일</span><span lang=""EN-US"">(금</span><span lang=""EN-US"">) 13</span><span>시 </span><span lang=""EN-US"">/ </span><span>선발 후 10</span><span>월 </span><span lang=""EN-US"">28</span><span>일</span><span lang=""EN-US"">(월</span><span lang=""EN-US"">) 이내 </span><span>개별연락</span></p><p class=""0""><span>❍ </span><span>모집대상</span><span lang=""EN-US"">: </span><span>부산 소재의 만</span><span lang=""EN-US"">50</span><span>세</span><span lang=""EN-US"">~</span><span>만</span><span lang=""EN-US"">69</span><span>세 </span><span lang=""EN-US"">/ 40</span><span>명</span></p><p><span>❍ </span><span>조건</span><span lang=""EN-US"">: </span><span>스마트폰사용 및 모바일데이터 사용 가능자</span><span lang=""EN-US"">(</span><span>노인일자리 참여자</span><span lang=""EN-US"">, </span><span>실업급여 대상자 제외</span><span lang=""EN-US"">)</span></p><p><span>❍</span><span> 진행일시: 2024년 10월 29일(화) 13시~17시</span><span>​</span></p><p class=""0""><span>❍ </span><span>신청방법: 온라인 신청</span><span>☞주소클릭 </span>(<a href=""https://docs.google.com/forms/d/1u__CV3op1go-J4x2JlmeE-NUAFMuSg6pgHJkhzGLTDA/edit"" target=""_self"">https://docs.google.com/forms/d/1u__CV3op1go-J4x2JlmeE-NUAFMuSg6pgHJkhzGLTDA/edit</a>)</p><p class=""0""><span>❍신청관련 문의 : 부산광역시 장노년일자리지원센터 김소현 주임(070-4048-7097)</span>​</p> ​
</div>",,,,,,,0,4,사회형,1
2,부산일자리정보망,2024년 수영구 일자리종합센터 『실전! 창업 아카데미』,부산광역시 수영구청,2024-09-11 09:00:00,2024-10-15 18:00:00,2024-10-16,2024-10-17,접수중,"온라인,방문,기타",https://naver.me/xMjnKX7E,051-610-4830,이춘우,일자리경제과,korea0160@korea.kr,https://www.busanjob.net/03_part/part01_view.asp?idx=17334&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<p><strong ""malgun="""" ""맑은="""" -0.4992px;="""" -webkit-print-color-adjust:="""" 0px;="""" 0px;""="""" apple="""" arial,="""" baseline;="""" border-box;="""" border:="""" box-sizing:="""" clean,="""" dotum,="""" exact;="""" gothic="""" gothic"",="""" helvetica,="""" letter-spacing:="""" margin:="""" neo"",="""" none;="""" padding:="""" sans-serif;="""" sd="""" text-size-adjust:="""" verdana,="""" vertical-align:="""" 고딕"",="""" 돋움,=""""><span>2024년 수영구 일자리종합센터 『실전! 창업 아카데미』</span></strong></p><div ""malgun="""" ""맑은="""" -0.4992px;""="""" apple="""" arial,="""" class=""vier-cont wb"" clean,="""" dotum,="""" gothic="""" gothic"",="""" helvetica,="""" letter-spacing:="""" neo"",="""" sans-serif;="""" sd="""" verdana,="""" 고딕"",="""" 돋움,=""""><div><p> <br/><span>❍ 교육일시 : 2024. 10. 16.(수) ~ 10. 17(목) 14:00~17:00</span></p><p><span>  ❍ 교육대상 : 예비 및 초기 창업자 20명/수영구민우대</span></p><p><span>  ❍ 교육장소 : 수영구청 중회의실</span></p><p><span>  ❍ 교육내용 : 2024 지금은 펫코노미시대!</span></p><p><span>                (펫코노미시장 분석과 현업종사자의 생생한 창업스토리 공개)</span></p><p><span>  ❍ 접수방법  : 일자리종합센터 본인 방문(신분증 지참) 혹은 네이버폼 온라인접수가능</span></p><p><strong>클릭 -&gt; <a data-cke-saved-href=""https://naver.me/xMjnKX7E"" href=""https://naver.me/xMjnKX7E""><span>https://naver.me/xMjnKX7E</span></a></strong></p><p><span>  ❍ 접수기간 : 2024. 9. 11.(수) ~ 10. 14.(월)</span></p><p><span>  ❍ 문    의 : 수영구 일자리종합센터 ☎ 610-4832</span></p></div></div>
</div>",,,,,,,0,2,탐구형,5
3,부산일자리정보망,2024년 하반기 경비원 양성 교육과정 참여자 모집 안내,부산광역시 해운대구청,2024-10-07 09:00:00,2024-10-14 18:00:00,2024-10-23,2024-10-25,접수중,방문,,051-749-4348,김하경,일자리경제과,,https://www.busanjob.net/03_part/part01_view.asp?idx=16643&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<b>2024년 하반기 경비원 양성 교육과정 참여자 모집 안내</b><p><span lang=""en-us"">1. </span><span>교육개요</span></p><p class=""0""><span>가</span><span lang=""en-us"">. </span><span>교 육 명</span><span lang=""en-us"">: </span><span lang=""en-us"">2024 하</span><span>반기 경비원 양성 교육과정</span></p><p class=""0""><span>나</span><span lang=""en-us"">. </span><span>교육기간</span><span lang=""en-us"">: </span><span lang=""en-us"">2024. 10. 23.(</span><span lang=""en-us"">수</span><span lang=""en-us"">) ~ 10. 25.(</span><span lang=""en-us"">금</span><span lang=""en-us"">)</span></p><p class=""0""><span>다</span><span lang=""en-us"">. </span><span>교육장소: (사)대한민국경비협회 부산지방협회(부산진구 중앙대로 747, 한누리빌딩8층)</span></p><p class=""0""><span lang=""en-us"">2. </span><span>수강신청</span></p><p class=""0""><span>가</span><span lang=""en-us"">. </span><span>접수기간</span><span lang=""en-us"">: 2024. 10. 7.(</span><span lang=""en-us"">월</span><span lang=""en-us"">) ~ 10. 14.(</span><span lang=""en-us"">월</span><span lang=""en-us"">)</span></p><p class=""0""><span>나</span><span lang=""en-us"">. </span><span>교 육 비</span><span lang=""en-us"">: </span><span>무료</span></p><p class=""0""><span>다</span><span lang=""en-us"">. </span><span>신청자격</span><span lang=""en-us"">: </span><span>해운대구 거주 경비원 구직자(현재 미취업자 우선)</span></p><p class=""0""><span>라</span><span lang=""en-us"">. </span><span>접수방법</span><span lang=""en-us"">: </span><span>본인 방문 접수</span><span lang=""en-us"">(</span><span>신분증 지참</span><span lang=""en-us"">)</span></p><p class=""0""><span>마</span><span lang=""en-us"">. </span><span>접 수 처</span><span lang=""en-us"">: </span><span>해운대구청 일자리센터</span><span lang=""en-us"">, 해운대구문화복합센터 일자리센터(재송동),</span></p><p class=""0""><span>               해운대 기술교육원 일자리센터</span><span lang=""en-us"">(</span><span>반여동</span><span lang=""en-us"">)</span></p><p class=""0""><span>바</span><span lang=""en-us"">. </span><span>제출서류</span></p><p class=""0""><span lang=""en-us"">1) </span><span>신청서 및 개인정보 제공</span><span lang=""en-us"">·</span><span>이용 동의서</span><span lang=""en-us"">[</span><span>붙임</span><span lang=""en-us"">]</span></p><p class=""0""><span lang=""en-us"">2) </span><span>주민등록초본</span><span lang=""en-us"">(</span><span>주소변동사항 포함</span><span lang=""en-us"">)</span></p><p class=""0""><span lang=""en-us"">3) </span><span>고용보험자격이력내역서</span></p><p class=""0""><span>사</span><span lang=""en-us"">. </span><span>선발방법</span><span lang=""en-us"">: </span><span>서류심사</span><span lang=""en-us"">*</span><span>심사기준</span><span lang=""en-us"">: </span><span>해운대구 거주기간</span><span lang=""en-us"">, </span><span>장기 미취업자</span><span lang=""en-us"">, 65</span><span>세 미만 우선 선발 등</span></p><p class=""0""><span>아</span><span lang=""en-us"">. </span><span>교육대상자 발표</span><span lang=""en-us"">: 2024. 10. 18.(</span><span lang=""en-us"">금</span><span lang=""en-us"">) </span><span>예정</span></p><p><span>   ※ </span><span lang=""en-us"">2021 ~ 2023</span><span>년 동일 사업</span><span lang=""en-us"">(</span><span>재능일자리</span><span lang=""en-us"">) </span><span>선발 후 무단결석 또는 미수료자 교육 신청제한</span></p>
</div>",,,,,,,0,1,현실형,12
4,부산일자리정보망,건설현장 신호수·이동식크레인(고소작업대) 조종자격 교육 신청자 모집 공고,부산광역시 부산진구청,2024-09-09 09:00:00,2024-10-11 17:00:00,2024-10-24,2024-10-25,접수중,방문,,051-605-6407,조영주,일자리정책과,dooree77@korea.kr,https://www.busanjob.net/03_part/part01_view.asp?idx=16598&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
									중장년층 일자리창출을 위한 2024년 신호수 및 이동식크레인(고소작업대) 조종자격 교육 참여자를 아래와 같이 모집 공고하고자 합니다.<br/><br/>   ▣  공고개요<br/>     ○ 공고기간 : 2024. 9. 3.(화) ~ 2024. 10. 11.(금) <br/>     ○ 접수기간 : 2024. 9. 9.(월) ~ 2024. 10. 11. (금) 까지 <br/>     ○ 신청자격 : 건설현장 구직자 (부산진구민 우대)<br/>     ○ 접수방법 : 방문 접수(부산진구청 취업정보센터 1층), 신분증 지참<br/>     ○ 제출서류 : 참가신청서, 개인정보 제공 및 이용 동의서, 행정정보 공동이용<br/>                         사전동의서 등 (붙임서식 참고)<br/>     ○ 공고내용 : 신청자격 등 공고문 참조<br/>     ○ 문 의 처  : 부산진구 일자리정책과 (☎051-605-6405~9, 4342)
</div>",,,,,,,0,1,현실형,9
5,부산일자리정보망,DX-Academy 기초역량 교육 수강생 모집,부산여자대학교,2024-08-30 09:00:00,2024-12-31 18:00:00,2024-08-30,2024-12-31,접수중,기타,https://docs.google.com/forms/d/1utbZFRGYVrpA7YveFl40TcatshOnqe8-mAhcMDdIXiI/viewform?edit_requested=true,051-850-5919,DX교육운영센터,DX교육운영센터,-,https://www.busanjob.net/03_part/part01_view.asp?idx=16243&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<span>👨신청안내</span><span>👩</span><div><span>• 모집대상 : 신중장년층 (35세 ~ 60세)</span></div><div><span>• 신청기한 : 상시 신청 가능</span></div><div><span>• 신청방법 : 전화문의 / 신청 QR코드로 신청서 작성</span></div><div><span>↓</span><span>​ </span><span>신청링크 ↓</span></div><div><a href=""https://docs.google.com/forms/d/1utbZFRGYVrpA7YveFl40TcatshOnqe8-mAhcMDdIXiI/viewform?edit_requested=true"" target=""_blank""><span>https://docs.google.com/forms/d/1utbZFRGYVrpA7YveFl40TcatshOnqe8-mAhcMDdIXiI/viewform?edit_requested=true</span></a><span>​</span></div><div><span>👨</span><span>​</span><span>주요내용</span><span>👩</span><span>​</span></div><div><span>• 교육 일정 : 과정별 정원 모집 완료 시 교육 진행 예정 (과정당 40명)</span></div><div><span>• 교육 장소 : 부산여자대학교(한 소속 내 다수인원 신청시 출장교육 가능)</span></div><div><span>• 참여 비용: 전액 무료</span></div><div><span>👨</span><span>​</span><span>교육과정</span><span>👩</span><span>​</span></div><div><span>• EHS AI 슈퍼바이저 양성 과정 : 데이터 레이블러, 어노페이션 라벨링 실무 고도화</span></div><div><span>• EHS RM 슈퍼바이저 양성 과정 : 위험관리 시스템 리뷰어 실무</span></div><div><span>👨</span><span>​</span><span>​</span><span>참여혜택</span><span>👩</span><span>​</span></div><div><span>• 교육 과정멸 전문 수료증 발급</span></div><div><span>• 교육생 1:1 개인별 직무전환 멘토링</span></div><div><span>• 산업체 전문가 특강 진행</span></div><div><span>• 취창업 프로그램 진행</span></div><div><span>• 문의사항 : 부산여자대학교 DX교육운영센터로 전화문의</span></div><div><span>              051) 850-3053 / 051) 850-5919</span><br/></div><div><span><br/>​</span></div>
</div>",,,,,,,0,5,진취형,1
6,부산일자리정보망,리터러시 강화교육 수강생 모집,부산여자대학교,2024-08-12 09:00:00,2024-12-31 18:00:00,2024-08-12,2024-12-31,접수중,기타,https://docs.google.com/forms/d/1s43U9EgOmVxQu-jvrXLL1hZHfgSpfDz1paLiWQ6uV9A/edit,051-850-3053,DX교육운영센터,DX교육운영센터,-,https://www.busanjob.net/03_part/part01_view.asp?idx=15580&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<div align=""center""><b>DX-Academy</b></div><div align=""center""><b>리터러시 강화교육 수강생 모집</b></div><div><b>*신청안내*</b></div><div><span>- 모집대상 : 신중장년층(35세~60세)</span></div><div><span>- 신청기한 : 상시 신청 가능</span></div><div><span>- 신청방법 : 전화문의 / 신청 QR로 신청서 작성</span></div><div><span>- 문의사항 : 부산여자대학교 DX 교육운영센터로 전화문의(051-850-3053 / 051-850-5919)</span></div><div><b>*주요내용*</b></div><div><span>- 교육일정 : 과정별 정원 모집 완료 시 교육진행 예정(과정당 20명)</span></div><div><span>- 교육장소 : 부산여자대학교(한 소속 내 다수인원 신청시 출장교육 가능)</span></div><div><span>- 참여비용 : 전액 무료</span></div><div><b>*교육과정*</b></div><div><span>- 건강관리를 위한 스마트 기기활용</span></div><div><span>- Social - Service Tech 역량교육</span></div><div><span>- 보건의료서비스분야 DX역량</span></div><div><span>- 디지털콘텐츠 활용 건강관리 역량교육</span></div><div><b>*참여혜택*</b></div><div><span>- 교육과정별 전문 수료증 발급</span></div><div><span>- 교육생 1:1개인별 직무전환 멘토링</span></div><div><span>- 산업체 전문가 특강 진행</span></div><div><span>- 취창업 프로그램 진행</span></div><div><b>*DX리터러시 강화교육*</b></div><div><span>- 모집인원 : 20명(50%)</span></div><div><span>- 성적우수생 : 1(5%) / 15만원</span></div><div><span>- 우수교육참여생 : 3(15%) / 10만원</span></div><div><span>- 우수참여 및 교육지원 : 6(30%) / 5만원</span></div>
</div>",,,,,,,0,5,진취형,1
7,부산일자리정보망,′2024년 부산형 시니어 채용지원사업′ 구직자 모집,부산경영자총협회,2024-07-31 09:00:00,2024-12-31 18:00:00,2024-07-31,2024-12-31,접수중,기타,https://bsefapp.co.kr/board/joboffer,051-647-5186,기업지원팀,기업지원팀,-,https://www.busanjob.net/03_part/part01_view.asp?idx=15200&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<div align=""center"">부산경영자총협회에서는<b> ′2024년 부산형 시니어 채용지원사업′ </b>구직자를 모집합니다.</div><div align=""center""><span>다양한 직무와 함께 주 15시간 단기근로가능 직무까지~!</span></div><div align=""center""><span>자세한 구인 내용은 아래의 카드뉴스를 클릭해주십시오.</span></div>
</div>",,,,,,,0,4,사회형,1
8,부산일자리정보망,부산형 시니어 적합직무 채용지원사업 참여자 모집,부산경영자총협회,2024-05-01 09:00:00,2024-12-31 18:00:00,2024-05-01,2024-12-31,접수중,기타,,051-647-5186,차지은,기업지원팀,bs60@bsef.kr,https://www.busanjob.net/03_part/part01_view.asp?idx=14953&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<span>2024 부산 시니어 적합직무 채용 지원사업의 구직자를 모집합니다.</span> <div ""noto="""" ""맑은="""" 102);="""" 102,="""" 16px;="""" 255);""="""" 255,="""" background-color:="""" border-box;="""" box-sizing:="""" color:="""" font-size:="""" gmarketsans,="""" kr"",="""" malgungothic,="""" noto="""" rgb(102,="""" rgb(255,="""" sans="""" sans"",="""" sans-serif;="""" 고딕"",=""""><b>참여방법</b></div><div ""noto="""" ""맑은="""" 102);="""" 102,="""" 16px;="""" 255);""="""" 255,="""" background-color:="""" border-box;="""" box-sizing:="""" color:="""" font-size:="""" gmarketsans,="""" kr"",="""" malgungothic,="""" noto="""" rgb(102,="""" rgb(255,="""" sans="""" sans"",="""" sans-serif;="""" 고딕"",=""""><span>부산일자리정보망 회원가입  →  JOB프로그램  →  시니어 적합직무 검색 </span></div><p><span ""noto="""" ""맑은="""" gmarketsans,="""" kr"",="""" malgungothic,="""" noto="""" sans="""" sans"",="""" sans-serif;""="""" 고딕"",="""">→ 시니어적합직</span><span ""noto="""" ""맑은="""" 24pt;""="""" border-box;="""" box-sizing:="""" font-size:="""" gmarketsans,="""" kr"",="""" malgungothic,="""" noto="""" sans="""" sans"",="""" sans-serif;="""" 고딕"",="""">​</span><span ""noto="""" ""맑은="""" gmarketsans,="""" kr"",="""" malgungothic,="""" noto="""" sans="""" sans"",="""" sans-serif;""="""" 고딕"",="""">무 채용관 바로가기 </span><span><a ""noto="""" ""맑은="""" 18pt;""="""" font-size:="""" gmarketsans,="""" href=""http://jobfair.busanjob.net/senior"" kr"",="""" malgungothic,="""" noto="""" sans="""" sans"",="""" sans-serif;="""" target=""_self"" 고딕"",="""">jobfair.busanjob.net/senior</a> </span><span ""noto="""" ""맑은="""" gmarketsans,="""" kr"",="""" malgungothic,="""" noto="""" sans="""" sans"",="""" sans-serif;""="""" 고딕"",="""">→ </span></p><p><span ""noto="""" ""맑은="""" gmarketsans,="""" kr"",="""" malgungothic,="""" noto="""" sans="""" sans"",="""" sans-serif;""="""" 고딕"",="""">로그인 및 참여신청서 업로드  →  입사지원</span></p>
</div>",,,,,,,0,4,사회형,1
9,부산일자리정보망,국민취업지원제도 이음길HR,고용노동부,2024-04-24 09:00:00,2024-12-31 18:00:00,2024-04-24,2024-12-31,접수중,"온라인,방문",,051-900-2231~3,이음길HR,이음길HR,,https://www.busanjob.net/03_part/part01_view.asp?idx=12435&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<div align=""center""><span>취업의 장벽을 넘어서는 도움닫기</span><span lang=""EN-US"">, </span><span>이음길</span><span lang=""EN-US"">HR</span></div><p class=""0""><span lang=""EN-US"">🌻 </span><span>취업에 대한 고민</span><span lang=""EN-US"">, </span><span>이음길에서 나누고 돕겠습니다</span><span lang=""EN-US"">:)</span></p><p class=""0""><span>어떤 취업 지원 서비스가 있을까요</span><span lang=""EN-US"">?</span></p><p class=""0""><span lang=""EN-US"">-  </span><span>직업심리검사로 나를 파악할 수 있어요</span></p><p class=""0""><span lang=""EN-US"">-  </span><span>서류 작성 </span><span lang=""EN-US"">&amp; </span><span>면접에 대한 고민</span><span lang=""EN-US"">, </span><span>함께 해결해 나가요</span></p><p class=""0""><span lang=""EN-US"">-  </span><span>유형에 따라 생계지원금도 받을 수 있어요</span></p><p class=""0""><span>이음길이 제공하는 특별한 취업 지원 서비스로 </span></p><p class=""0""><span>국민취업지원제도를더욱가치있게만들어보세요</span><span lang=""EN-US"">!</span></p><p align=""center"" class=""0""><span>아래 이미지를 클릭하시면</span><span lang=""EN-US"">, </span><span>이음길과 함께 하는</span></p><div align=""center""><span>국민취업지원제도의 신청상담을 받아볼 수 있습니다</span><span>☘</span></div>
</div>",,,,,,,0,4,사회형,1
10,부산일자리정보망,신중년 경비원 양성을 위한 일반경비원 신임교육 교육비 지원,부산광역시 장노년일자리지원센터,2024-04-03 09:00:00,2024-11-25 18:00:00,2024-04-01,2024-11-29,접수중,기타,https://www.busan50plus.or.kr/notice/news/view?uid=452,051-864-6300,김소현,장노년일자리혁신팀,bcjcenter@hanmail.net,https://www.busanjob.net/03_part/part01_view.asp?idx=11987&page=1&params=search_mode%3DY%26search_save%3DN%26keyword%3D%26kind1_type%3DP%26kind1_type_k%3DP%26kind2_type%3DJP04%26kind2_type%3DJP05%26kind2_type_k%3DJP04%252CJP05,"<div class=""view_detail"">
<p><b>""신중년의 재취업을 위한 일반경비원 신임교육과정 교육비를 지원해드립니다""</b></p><p><span>‣ </span><span>내용:</span> 경비원이 되기 위해 일반경비원 신임교육과정 이수를 희망하는 신중년에게 <span>교육비 30%를 지원</span></p><p>‣ <span>대상:</span> 부산소재 만50세~만64세 미취업자</p><p><span>‣</span>​<span>접수기간:</span> 4월~11월 / 월 30명</p><p><span>‣</span>​<span>신청방법:</span> 전화 및 방문 접수</p><p><span>‣</span><span>​자세한 내용은 홈페이지 참조</span></p><p><span>‣</span>​<span>문의사항 :</span> 051-864-6300 또는 070-4759-8767 /<span> 부산광역시 장노년일자리지원센터 김소현 주임 </span></p>
</div>",,,,,,,0,1,현실형,1
