id,source,company,title,subtitle,salary,signup_date,due_date,region_name,career,education,work_type,work_category,link,contact,work_hours,details,email,certification,preference_id,region_id
1,국민 일자리 벼룩시장,늘찬,닭고기 가공업체 택배포장 / 단순생산직 직원 모집,,"2,150,000원",2024-08-21,2999-12-31,부산 강서구 낙동북로102번길 63,무관,무관, 정규직,"포장·검사, 농수산물 가공·식품 제조",http://www.findjob.co.kr/job/view/0113142089094094/WJ010310/,051-314-1235,08:30~17:30,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113142089&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1480px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,7
2,국민 일자리 벼룩시장,더리본 주식회사,초보가능/ 조문객 서빙도우미/ 상례사/ 웨딩플래너 모집] 투잡/ 부업,,"150,000원 이상",2024-08-21,2999-12-31,부산 북구 낙동대로 1791,무관,무관," 정규직, 계약직, 아르바이트(파트타임)","서빙·포장, 상조·웨딩·연회",http://www.findjob.co.kr/job/view/0113146216012012/WJ010310/,010-4668-7054 문자문의,00:00~24:00,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113146216&amp;InputBranch=12&amp;LayoutBranch=12&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""3734px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,15
3,국민 일자리 벼룩시장,박해윤통영해물밥상,"(박해윤통영해물밥상 ) 동래점- 주방 찬 담당자 광안점 -주방,홀서빙 정직및 파트 남여",,회사내규에 따름,2024-08-21,2999-12-31,부산 수영구 민락수변로239번길 14,무관,무관, 위촉직,"주방·주방보조·설거지, 서빙·포장, 요리·서빙 기타",http://www.findjob.co.kr/job/view/0113123102094094/WJ010310/,010-2030-3887 문자문의,협의가능 협의가능,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113123102&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1832px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,5
4,국민 일자리 벼룩시장,신라농원,(신라농원) 숯불장치 직원 모집합니다,,회사내규에 따름,2024-08-21,2999-12-31,부산 북구 기찰로 7,무관,무관, 위촉직,요리·서빙 기타,http://www.findjob.co.kr/job/view/0113145297094094/WJ010310/,010-2288-3811 문자문의,협의가능 협의가능,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113145297&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1383px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,15
5,국민 일자리 벼룩시장,(주)화성어패럴,"오바사, 본봉사, 삼봉사, 완성공, 시다공 모집",,회사내규에 따름,2024-08-21,2999-12-31,부산 부산진구 복지로8번길 31-12,무관,무관," 위촉직, 프리랜서","섬유·재단·미싱, 생산·제조·조립·인쇄",http://www.findjob.co.kr/job/view/0113126354094094/WJ010310/,010-4374-3685,협의가능 협의가능,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113126354&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1380px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,9
6,국민 일자리 벼룩시장,브이호텔,(부산브이호텔) 청소 /주간 카운터 직원 구합니다,,"2,500,000원",2024-08-21,2999-12-31,부산 해운대구 구남로18번길 46,무관,무관, 위촉직,"모텔·호텔·숙박, 청소·미화·방역",http://www.findjob.co.kr/job/view/0113143390094094/WJ010310/,010-5136-5765 문자문의,협의가능 협의가능,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113143390&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1368px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,12
7,국민 일자리 벼룩시장,샤브만찬,마린시티 샤브만찬에서 신규오픈 직원을 모집합니다 (주방 1명/홀 1명 모집),,"3,000,000원 이상",2024-08-21,2999-12-31,부산 해운대구 마린시티3로 51,무관,무관," 정규직, 계약직","주방·주방보조·설거지, 서빙·포장",http://www.findjob.co.kr/job/view/0113141526094094/WJ010310/,010-4851-6116,10:00~22:00,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113141526&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""2294px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,12
8,국민 일자리 벼룩시장,(주)아진글라스,강화유리 자동재단기사 // 생산.현장직(초보)/유리재단기사(경력),,"9,860원",2024-08-21,2999-12-31,부산 동래구 안남로 38,무관,무관, 정규직,"생산·제조·조립·인쇄, 포장·검사, 건설·토목 기타",http://www.findjob.co.kr/job/view/0113139010094094/WJ010310/,055-781-2227,08:30~18:30,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113139010&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""2630px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,3
9,국민 일자리 벼룩시장,하나방역 본사(pest119),하방맨2기모집.활발하고 적극적이신 분 지원하세요.바퀴벌레퇴치 전문영업팀 모집.당일지급,,"120,000원 이상",2024-08-21,2999-12-31,부산 동래구 충렬대로182번길 15,무관,무관," 계약직, 아르바이트(파트타임), 프리랜서","서비스 기타, 청소·미화·방역",http://www.findjob.co.kr/job/view/0006439987180180/WJ010310/,010-2068-8628,"09:00~18:00 휴게시간 포함, 점심시간 및 이동시간 제외","<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=6439987&amp;InputBranch=180&amp;LayoutBranch=180&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""3389px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,,3
10,부산경영자총협회,숲사랑어린이집,숲사랑어린이집,어린이집 조리사 구인 공고,월급 154만원,2024-08-14,9999-01-01,부산 동래구,,, ,어린이집 조리사 ,https://bsefapp.co.kr/board/joboffer/details/?schCode=KODT000000000354&page=1,문의 051)647-5186,월~금 08:30 - 15:00 (휴게시간 12:00 - 12:30),,magiclie@hanmail.net,,,3
