id,cleaned_merged_column,label,label2
1,소독회사 같이 키워갈 하방맨3기를 모집합니다일 12만이상 수당지급 서비스 기타 청소미화방역,현실형,
2,구내식당 조리사조리원 종일근무 조리업무가능자 모집합니다 주방주방보조설거지 주방장조리사,현실형,
3,국밥집 야간 주방 파트1명 주34일근무 급여및 조건 면접시결정 주례 냉정역4번출구 주방주방보조설거지 서빙포장,현실형,
4,동원홈푸드 단체급식 조리보조원구함 주방주방보조설거지,현실형,
5,하방맨3기모집하나방역 본사에서 영업에 자신 있어신 분을 모집합니다수당지급 서비스 기타 청소미화방역,진취형,
6,소독회사 같이 키워갈 하방맨3기를 모집합니다일 12만이상 수당지급선착순5명 서비스 기타 청소미화방역,현실형,
7,아파트 복합시설 공장 지중관로 케이블포설업무 신입 경력직모집 건설현장 전기조명시설관리,현실형,
8,병원 주차원 모집 운전능숙한자 외제차포함조식중식제공 주차관리주차도우미,진취형,
9,요양병원 간병인구해요 718187시 교대근무 월9회휴무 요양간병돌봄 요양간호의료 기타,현실형,
10,T셔츠 전문업체 본봉사 특종 구함 섬유재단미싱,사회형,
11,병원 단체급식 주방 조리보조 및 배식 담당 조리원 구인 주방주방보조설거지 서빙포장,현실형,
12,신입200만원교육비150만원면접선물경력우대 인바운드CS 아웃바운드TM 금융보험카드,진취형,
13,신입200만원교육비150만원면접선물재택가능 인바운드CS 아웃바운드TM 금융보험카드,진취형,
14,오픈 1기 콜센터신입200만원교육비150만면접선물 인바운드CS 아웃바운드TM 금융보험카드,진취형,
15,간단한 서빙셋팅정리 하실분 모집일15만원이상중장년 주부가능 서빙포장 청소미화방역 상조웨딩연회,현실형,
16,경력 1도 없어도 가능 유통판매 기타 사무기획관리홍보 인바운드CS,진취형,
17,103시파트재택가능 교육비150신입200만경력400만보장면접선물 인바운드CS 아웃바운드TM 금융보험카드,진취형,
18,102시26시 재택가능교육비150만신입200만경력업적무관400만 인바운드CS 아웃바운드TM 금융보험카드,진취형,
19,상담 교육비150 신입200만 경력전직소득보장 인바운드CS 아웃바운드TM 금융보험카드,진취형,
20,인바운드CS 아웃바운드TM 금융보험카드,진취형,
21,4시간 상담직 교육비150만신입200만경력전소득보장 인바운드CS 아웃바운드TM 금융보험카드 일반기술영업,진취형,
22,바리스타220만원인센 베이커리 정직원 및 보조 주방주방보조설거지 요리서빙 기타 유통판매 기타,진취형,
23,롯데백화점 광복점 모시모시에서 홀서빙정직원 구합니다 요리서빙 기타 백화점아울렛쇼핑몰 서빙포장,현실형,
24,급구 부산북구만덕 삼소통나무집에서 주방보조 주중주말 구합니다 요리서빙 기타 서빙포장 주방주방보조설거지,현실형,
25,종합 분식점 오후 판매 홀서빙 1명 직원 모십니다 요리서빙 기타 서빙포장 주방장조리사,진취형,
26,한솥도시락 반여점 토일 오후 아르바이트 구합니다 요리서빙 기타,현실형,
27,영도 동삼동 토일 직원 모집 백채 김치찌개 요리서빙 기타,현실형,
28,금토일 18시21시반 주말 12시15시 서빙 모집 해운대 장산역 요리서빙 기타 서빙포장,현실형,
29,남산정요양병원 조리사 조리원 정규직 구함 월910회휴무연차별도 조리사자격증소지자 주방장조리사 주방주방보조설거지,현실형,
30,더파티 전지점 아르바이트 채용 요리서빙 기타 주차관리주차도우미 청소미화방역,진취형,
31,함께 할 하방맨2기 모집하나방역 본사에서 영업에 자신 있어신 분을 모집합니다당일지급 서비스 기타 청소미화방역,진취형,
32,꼬마김밥집에서 일하실분 구합니다 요리서빙 기타,현실형,
33,야간홀서빙직원구함 요리서빙 기타 서빙포장,현실형,
34,홀서빙 파트타임 구합니다 요리서빙 기타 서빙포장,현실형,
35,서빙 구합니다 요리서빙 기타 서빙포장,현실형,
36,쭈꾸미 전문점 주방 정직원 모집합니다 주방장조리사 주방주방보조설거지 요리서빙 기타,현실형,
37,함경면옥 동래본점 홀 서빙 평일 파트타임 구합니다 요리서빙 기타,현실형,
38,주6일 라멘돈까스 정직원 구인 요리서빙 기타 주방장조리사 주방주방보조설거지,현실형,
39,경력2년3년이상 모텔 카운터 대타 실장 구합니다 서비스 기타 모텔호텔숙박,현실형,
40,가족처럼 따뜻하고 재밌게 일할 직원구합니다홀서빙 일요일 휴무 요리서빙 기타 서빙포장,현실형,
41,단기 송도 암남동 유료주차장 직원 채용합니다 주차관리주차도우미,진취형,
42,부산 전지역 요양병원 간병사 모집합니다 12시간 24시간 48시간 구함 성별 무관 요양간병돌봄,현실형,
43,주례 장원갈비 종일반 정직원 모집합니다 요리서빙 기타 서빙포장,현실형,
44,홍콩반점 영도 주방 10시21시30 급여280 수습1개월 요리서빙 기타 주방장조리사 주방주방보조설거지,현실형,
45,평일오후오전반 직원분 구합니다 편의점,현실형,
46,태종대 조개구이촌 올레에서 이모 모집합니다 요리서빙 기타,현실형,
47,GS25 사하구평점 수 목 금 저녁밤 근무자 모십니다 편의점,현실형,
