id,company,title,subtitle,work_category,details,certification,label
1,하나방역 본사(pest119),소독회사 같이 키워갈 하방맨3기를 모집합니다.일 12만이상 수당지급,,"서비스 기타, 청소·미화·방역",,,
2,갑을녹산병원,"구내식당 조리사,조리원 종일근무/ 조리업무가능자 모집합니다.",,"주방·주방보조·설거지, 주방장·조리사",,,
3,이바구국밥,국밥집 야간 주방 파트1명 주3~4일근무 급여및 조건 면접시결정 주례 냉정역4번출구,,"주방·주방보조·설거지, 서빙·포장",,,
4,(주)동원홈푸드 동원산업부산냉장센터,동원홈푸드 단체급식 조리보조원구함,,주방·주방보조·설거지,,,
5,하나방역 본사(pest119),하방맨3기모집.하나방역 본사에서 영업에 자신 있어신 분을 모집합니다.수당지급,,"서비스 기타, 청소·미화·방역",,,
6,하나방역 본사(pest119),소독회사 같이 키워갈 하방맨3기를 모집합니다.일 12만이상 수당지급.선착순5명,,"서비스 기타, 청소·미화·방역",,,
7,이음전기,"아파트 복합시설 공장 지중관로 케이블포설업무 신입, 경력직모집",,"건설현장, 전기·조명·시설관리",,,
8,좋은강안주차장,"병원 주차원 모집 운전능숙한자 (외제차포함/조식,중식제공)",,주차관리·주차도우미,,,
9,지성부산간병인협회,"요양병원 간병인구해요 7~18,18~7시 교대근무 월9회휴무",,"요양·간병·돌봄, 요양·간호·의료 기타",,,
10,명성,"T셔츠 전문업체 본봉사, 특종 구함",,섬유·재단·미싱,,,
11,의료법인은성의료재단좋은삼선병원,병원 단체급식 주방 조리보조 및 배식 담당 조리원 구인,,"주방·주방보조·설거지, 서빙·포장",,,
12,부산 연산 BC카드 AIA 생명,신입200만원/교육비150만원/면접선물/경력우대,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
13,부산 서면 현대카드 AIA 생명,신입200만원/교육비150만원/면접선물/재택가능,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
14,부산 강서 명지센터 신한카드 AIA,오픈 1기] 콜센터신입200만원/교육비150만/면접선물,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
15,더리본(W웨딩&더파티),"간단한 서빙,셋팅,정리 하실분 모집(일15만원이상)-중장년 주부가능",,"서빙·포장, 청소·미화·방역, 상조·웨딩·연회",,,
16,LG헬로비전전포역,경력 1도 없어도 가능,,"유통·판매 기타, 사무·기획·관리·홍보, 인바운드·CS",,,
17,명지동AIA 본사콜센터 신규오픈,(10-3시파트재택가능) 교육비150신입200만경력400만보장면접선물,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
18,부산서면 AIA생명 본사직영센터,10-2시2-6시] 재택가능교육비150만신입200만/경력업적무관400만,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
19,BC카드 연산 파트타임 TM콜센터,상담  교육비150 / 신입200만 / 경력전직소득보장,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
20,명지동 신한카드 TM콜센터,,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,,
21,현대카드 서면 파트타임 콜센터,4시간 상담직 교육비150만/신입200만/경력전소득보장,,"인바운드·CS, 아웃바운드·TM, 금융·보험·카드, 일반·기술영업",,,
22,Cafe CORALANI(카페코랄라니,바리스타(220만원+인센) / 베이커리 정직원 및 보조,,"주방·주방보조·설거지, 요리·서빙 기타, 유통·판매 기타",,,
23,모시모시,롯데백화점 광복점 모시모시에서 홀서빙정직원 구합니다.,,"요리·서빙 기타, 백화점·아울렛·쇼핑몰, 서빙·포장",,,
24,삼소통나무집,(급구) 부산북구만덕 삼소통나무집에서 주방보조 주중주말 구합니다.,,"요리·서빙 기타, 서빙·포장, 주방·주방보조·설거지",,,
25,더바삭,종합 분식점 오후 판매 홀서빙 1명 직원 모십니다.,,"요리·서빙 기타, 서빙·포장, 주방장·조리사",,,
26,한솥도시락(반여점),"한솥도시락 반여점 (토,일) 오후 아르바이트 구합니다",,요리·서빙 기타,,,
27,백채김치찌개 영도점,영도 동삼동 토.일 직원 모집 (백채 김치찌개),,요리·서빙 기타,,,
28,황장군돼지국밥,금토일 18시-21시반 / 주말 12시-15시 서빙 모집. 해운대 장산역,,"요리·서빙 기타, 서빙·포장",,,
29,남산정요양병원,"남산정요양병원 조리사, 조리원 정규직 구함 월9~10회휴무/연차별도/ 조리사자격증소지자",,"주방장·조리사, 주방·주방보조·설거지",,,
30,주식회사 더파티,더파티 전지점 아르바이트 채용,,"요리·서빙 기타, 주차관리·주차도우미, 청소·미화·방역",,,
31,하나방역 본사(pest119),함께 할 하방맨2기 모집.하나방역 본사에서 영업에 자신 있어신 분을 모집합니다.당일지급,,"서비스 기타, 청소·미화·방역",,,
32,아미꼬마김밥,꼬마김밥집에서 일하실분 구합니다,,요리·서빙 기타,,,
33,날마다대박나는집,야간홀서빙직원구함,,"요리·서빙 기타, 서빙·포장",,,
34,홍도야,홀서빙 파트타임 구합니다,,"요리·서빙 기타, 서빙·포장",,,
35,고성횟집,서빙 구합니다,,"요리·서빙 기타, 서빙·포장",,,
36,부산대 우쭈쭈,쭈꾸미 전문점 주방 정직원 모집합니다,,"주방장·조리사, 주방·주방보조·설거지, 요리·서빙 기타",,,
37,함경면옥,함경면옥 동래본점 홀 서빙 평일 파트타임 구합니다.,,요리·서빙 기타,,,
38,히노아지,주6일 라멘/돈까스 정직원 구인,,"요리·서빙 기타, 주방장·조리사, 주방·주방보조·설거지",,,
39,아리아모텔,경력(2년~3년이상) 모텔 카운터 대타 실장 구합니다.,,"서비스 기타, 모텔·호텔·숙박",,,
40,행복한횟집,가족처럼 따뜻하고 재밌게 일할 직원구합니다(홀서빙) 일요일 휴무,,"요리·서빙 기타, 서빙·포장",,,
41,위더스파크,(단기) 송도 암남동 유료주차장 직원 채용합니다.,,주차관리·주차도우미,,,
