id,combined,label,label2
1,"소독회사 같이 키워갈 하방맨3기를 모집합니다.일 12만이상 수당지급 / 서비스 기타, 청소·미화·방역",,
2,"구내식당 조리사,조리원 종일근무/ 조리업무가능자 모집합니다. / 주방·주방보조·설거지, 주방장·조리사",,
3,"국밥집 야간 주방 파트1명 주3~4일근무 급여및 조건 면접시결정 주례 냉정역4번출구 / 주방·주방보조·설거지, 서빙·포장",,
4,동원홈푸드 단체급식 조리보조원구함 / 주방·주방보조·설거지,,
5,"하방맨3기모집.하나방역 본사에서 영업에 자신 있어신 분을 모집합니다.수당지급 / 서비스 기타, 청소·미화·방역",,
6,"소독회사 같이 키워갈 하방맨3기를 모집합니다.일 12만이상 수당지급.선착순5명 / 서비스 기타, 청소·미화·방역",,
7,"아파트 복합시설 공장 지중관로 케이블포설업무 신입, 경력직모집 / 건설현장, 전기·조명·시설관리",,
8,"병원 주차원 모집 운전능숙한자 (외제차포함/조식,중식제공) / 주차관리·주차도우미",,
9,"요양병원 간병인구해요 7~18,18~7시 교대근무 월9회휴무 / 요양·간병·돌봄, 요양·간호·의료 기타",,
10,"T셔츠 전문업체 본봉사, 특종 구함 / 섬유·재단·미싱",,
11,"병원 단체급식 주방 조리보조 및 배식 담당 조리원 구인 / 주방·주방보조·설거지, 서빙·포장",,
12,"신입200만원/교육비150만원/면접선물/경력우대 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
13,"신입200만원/교육비150만원/면접선물/재택가능 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
14,"오픈 1기] 콜센터신입200만원/교육비150만/면접선물 / 인바운드·CS, 아웃바운드·TM, 금융·보험·카드",,
15,"간단한 서빙,셋팅,정리 하실분 모집(일15만원이상)-중장년 주부가능 / 서빙·포장, 청소·미화·방역, 상조·웨딩·연회",,
16,"경력 1도 없어도 가능 / 유통·판매 기타, 사무·기획·관리·홍보, 인바운드·CS",,
