id,combined_cleaned,region_id
1,내항상선 급 해기사 단기 양성과정 한국해양수산연수원 현실형,1
2,외항상선 급 해기사 양성과정 한국해양수산연수원 현실형,1
3,년도 부산 리빙랩 시민연구단 기 모집공고 에스큐브디자인랩 진취형,1
4,년도 부산 리빙랩 지역현안 공모전 모집공고 에스큐브디자인랩 진취형,1
5,년 수영구민 취업프로젝트 함께 잡아요 내 일수영구청 일반경비원 양성교육 과정 부산광역시 수영구청 사회형,5
6,부기투어 부산 잡 페스티벌 부산경제진흥원 탐구형,1
7,공공기관부산우수기업설명회 부산 잡 페스티벌 부산경제진흥원 탐구형,1
8,제차 신중년 채용직무설명회 부산광역시 장노년일자리지원센터 현실형,1
9,기초역량 교육 수강생 모집 부산여자대학교 진취형,1
10,리터러시 강화교육 수강생 모집 부산여자대학교 사회형,1
11,년 부산형 시니어 채용지원사업 구직자 모집 부산경영자총협회 현실형,1
12,부산형 시니어 적합직무 채용지원사업 참여자 모집 부산경영자총협회 현실형,1
13,가족 즐거운 크리스마스 쿠키 만들기 사하구평생학습관 현실형,10
14, 크리스마스 수제종이 오브제 모빌 북구평생학습관 예술형,15
15, 마음챙김으로 스트레스 다스리기 북구평생학습관 사회형,15
16,월 일 들락날락 유아과학교실 미니 현미경 관찰 단체 영도구평생학습관 진취형,17
17,장애인식개선교육  시각장애 공감하기 북구평생학습관 사회형,15
18,동대신동골목시장 캘리그라피 한지모자이크 액자 서구평생학습관 예술형,16
19,동대신동골목시장 원목 하바리움 무드등 서구평생학습관 현실형,16
20,서대신동골목시장 투자선택 프로세스 서구평생학습관 탐구형,16
21,서대신동골목시장 머라밸머니 라이프 밸런스이 뭐꼬 서구평생학습관 예술형,16
22,충무동 새벽시장 압화자개 미니소반 서구평생학습관 현실형,16
23,충무동 새벽시장 귀여운 달빛 고양이 레진키링 서구평생학습관 사회형,16
24,동대신동골목시장 년 꼭 알아야 할 디지털 금융트랜드 서구평생학습관 진취형,16
25,동대신동골목시장 경제공부가 어려운 당신의 선택 간접투자 서구평생학습관 진취형,16
26,서대신동골목시장 라탄 트레이 만들기 서구평생학습관 예술형,16
27,서대신동골목시장 업사이클링 바다유리 레진공예 그립톡 서구평생학습관 예술형,16
28,월 일 들락날락 유아과학교실 미니 현미경 관찰 단체 영도구평생학습관 진취형,17
29, 색채인문학 색을 활용한 소통방법 색채로 말하다 북구평생학습관 진취형,15
30,충무동 새벽시장 가을 겨울에 딱 어울리는 캔들 서구평생학습관 예술형,16
31,충무동 새벽시장 페이퍼아트 다육이 화분 서구평생학습관 예술형,16
32,  마음을 전달하는 시낭송과 함께 북구평생학습관 사회형,15
33,동대신동골목시장 실전에서 확실하게 써먹는 등기부등본 읽는 법 서구평생학습관 진취형,16
34,월 폴짝폴짝 체험형 동화구연 반 영도구평생학습관 예술형,17
35,동대신동골목시장 돈 버는 경매 돈 버리는 경매 서구평생학습관 현실형,16
36,월 폴짝폴짝 체험형 동화구연 반 영도구평생학습관 예술형,17
37,똑똑한 엔트리 코딩 활용 영도구평생학습관 진취형,17
38,서대신동골목시장 휴대하기 좋은 고체향수 서구평생학습관 예술형,16
39,서대신동골목시장 가을 안티에이징 크림 서구평생학습관 예술형,16
40,그림책 감성테라피 영도구평생학습관 예술형,17
41,충무동 새벽시장 모루플라워 꽃다발 만들기 서구평생학습관 예술형,16
42,평생학습 아카데미  한병창 초청강연 북구평생학습관 사회형,15
43,충무동 새벽시장 다용도 리얼카드지갑 제작 서구평생학습관 예술형,16
44,디지털배움터스마트폰으로 영상 만들기 사하구평생학습관 진취형,10
45,디지털배움터나만의 영상제작반 사하구평생학습관 진취형,10
46,  멋진인생 청바지청춘은 바로 지금부터 탄 북구평생학습관 사회형,15
47,년 찾아가는 계층별 인구교육 영도구평생학습관 진취형,17
48,내가 만드는 유튜브 숏츠 영도구평생학습관 예술형,17
49,우리동네 인문학 교실 시대로 조명해보는 베스트셀러 이야기 북구평생학습관 진취형,15
50,기초 코바늘 뜨기 패브릭얀을 활용한 기초 뜨개 북구평생학습관 예술형,15
51,월 폴짝폴짝 체험형 동화구연 반 영도구평생학습관 예술형,17
52,영도구평생학습관 사회형,17
53,영도구평생학습관 사회형,17
54,월 폴짝폴짝 체험형 동화구연 반 영도구평생학습관 예술형,17
55,동대신동골목시장 금 투자법 금값은 왜 오르는가 서구평생학습관 현실형,16
56,서대신동골목시장 예쁜 손글씨를 담은 드라이플라워 액자 서구평생학습관 예술형,16
57,영도구평생학습관 사회형,17
58,서대신동골목시장 세탁 청소 올인원 만능 아로마 세제 서구평생학습관 현실형,16
59,상상을 그리는 디지털 드로잉 영도구평생학습관 예술형,17
60,부산광역시인권센터와 함께하는 시민 인권 아카데미 북구평생학습관 사회형,15
61,충무동 새벽시장 초보자들이 궁금해하는 재건축 재개발 투자 서구평생학습관 탐구형,16
62,충무동 새벽시장 부동산 초보 탈출 기본 부동산 용어 정리 서구평생학습관 진취형,16
63, 숲해설가와 떠나는 가을숲 나들이 금정산 숲길 탐방 북구평생학습관 진취형,15
64,  스마트폰 기초 네이버편 북구평생학습관 진취형,15
65,월 토요스토리텔링 영도구평생학습관 사회형,17
66,동대신동골목시장 고체 주방비누 만들기천연수세미 포함 서구평생학습관 현실형,16
67,월 폴짝폴짝 체험형 동화구연 반 영도구평생학습관 예술형,17
68,월 폴짝폴짝 체험형 동화구연 반 영도구평생학습관 예술형,17
69,동대신동골목시장 가을무드 모루인형 만들기 서구평생학습관 예술형,16
70,서대신동골목시장 감성 백드롭페인팅액자 만들기 서구평생학습관 예술형,16
71,서대신동골목시장 플라스틱 나만의 전사 머그컵 만들기 서구평생학습관 예술형,16
72,충무동 새벽시장 온가족이 사용하기 편한 고체 바디워시 바 서구평생학습관 현실형,16
73,충무동 새벽시장 나의 에 어울리는 아로마향수 서구평생학습관 사회형,16
74,퓨어공방 스칸디아모스와 가을을 담다주간 부산진구평생학습관 예술형,9
75,생각 쑥쑥 그림책 놀이 반 영도구평생학습관 사회형,17
76,월 인터넷 활용 부산진구평생학습관 진취형,9
77,월 왕초보 컴퓨터입문 부산진구평생학습관 진취형,9
78,월 엑셀 시작하기 부산진구평생학습관 진취형,9
79,월 실무문서편집 부산진구평생학습관 진취형,9
80,제회 영도 아카데미 이호선 교수 부모도 사랑받고 싶다 영도구평생학습관 진취형,17
81,월 엑셀 자격증 부산진구평생학습관 진취형,9
82,월 사진편집 포토스케이프 부산진구평생학습관 진취형,9
83,월 한글 문서 편집 부산진구평생학습관 진취형,9
84,월 스마트폰 활용과 챗 활용 부산진구평생학습관 진취형,9
85,주말 가족특강 우리가족 크리스마스 케이크 만들기호 서구평생학습관 현실형,16
86,야간특강 년 부동산 전망과 전략 서구평생학습관 진취형,16
87,야간특강 광고로 재미있게 배우는 보험 서구평생학습관 탐구형,16
88,모모라미스튜디오 팝아트 초상화 원데이 클래스 부산진구평생학습관 예술형,9
89,크리스마스 토탈공예 체험 부산진구평생학습관 예술형,9
90,야간특강 대한민국은 왜 아파트인가 서구평생학습관 사회형,16
91,모모라미스튜디오 크리스마스 트리 나이프화 부산진구평생학습관 예술형,9
92,야간특강 주식 초보자도 쉽게 배우는 주식이야기 서구평생학습관 진취형,16
93,베이킹숲 나만의 홈베이킹 주말기 부산진구평생학습관 현실형,9
94,퓨어공방 스칸디아모스로 가족과 함께해요 주말 부산진구평생학습관 예술형,9
95,주말 가족특강 예쁜 간식 화과자 만들기구 서구평생학습관 현실형,16
96,퓨어공방 스칸디아모스로 가족과 함께해요 주말 부산진구평생학습관 예술형,9
97,야간특강 저자극 각질제거 커피슈거 스크럽제 서구평생학습관 현실형,16
98,송협주판화공방 실크스크린 아카데미월 부산진구평생학습관 예술형,9
99,홈 인테리어 토탈공예 체험 부산진구평생학습관 예술형,9
100,야간특강 수려한 원석 비즈공예 비녀 서구평생학습관 예술형,16
101,은모루 퇴근후 취미는 실버쥬얼리 크리스마스선물야간 부산진구평생학습관 예술형,9
102,나만의 플라워 스튜디오월 부산진구평생학습관 예술형,9
103,모모라미스튜디오 왕초보 나이프화 겨울 부산진구평생학습관 예술형,9
104,유리풀 스테인드 글라스 조명 만들기 부산진구평생학습관 예술형,9
105,헤르테세라믹 유니크한 오브제 만들기저녁 부산진구평생학습관 예술형,9
106,윤슬공방 나만의 제품 만들기 양단 조끼중급반 부산진구평생학습관 예술형,9
107,헤르테세라믹 유니크한 오브제 만들기저녁 부산진구평생학습관 예술형,9
108,헤르테세라믹 유니크한 오브제 만들기오전 부산진구평생학습관 예술형,9
109,한걸음플라워하바리움 소품 서구평생학습관 예술형,16
110,꼬마쉐프 요리교실 월 부산진구평생학습관 사회형,9
111,퓨어공방 스칸디아모스로 가족과 함께해요 주말 부산진구평생학습관 예술형,9
112,퓨어공방 스칸디아모스로 가족과 함께해요 주말 부산진구평생학습관 예술형,9
113,야간특강 실용적인 압화 에코백 서구평생학습관 현실형,16
114,은모루 퇴근후 취미는 실버쥬얼리 크리스마스선물 부산진구평생학습관 예술형,9
115,한걸음모루인형 키링 서구평생학습관 예술형,16
116, 가족이 함께 떠나는 숲체험 놀이 낙엽으로 만드는 무지개 세계 북구평생학습관 사회형,15
117,제회 중구평생학습주간 특강 북유럽 신화와 인문학 중구평생학습관 진취형,6
118,야간특강 가을에 어울리는 향수 디퓨저 서구평생학습관 예술형,16
119,커피 바리스타 영도구평생학습관 현실형,17
120, 맛있는 커피의 비밀 핸드드립 제대로 내리는 법 북구평생학습관 진취형,15
121,  세대 가족스포츠 한궁 게임 체험 북구평생학습관 진취형,15
122,  세대 가족스포츠 한궁 게임 체험 북구평생학습관 진취형,15
123,한걸음가을을 머금은 하이볼 서구평생학습관 예술형,16
124,하반기 영어 년 세 영도구평생학습관 진취형,17
125,하반기 영어 초등학년 영도구평생학습관 진취형,17
126, 숲해설가와 떠나는 가을숲 나들이 화지산 편백숲과 식물천연기념물 탐방 북구평생학습관 진취형,15
127, 숲해설가와 떠나는 가을숲 나들이 화지산 편백숲 탐방 북구평생학습관 진취형,15
128,한걸음도자기 공예 서구평생학습관 예술형,16
129,한걸음귀가 열리는 팝송 서구평생학습관 예술형,16
130,월 폴짝폴짝 체험형 동화구연 반 영도구평생학습관 예술형,17
131,월 폴짝폴짝 체험형 동화구연 반 영도구평생학습관 예술형,17
132,스마트폰 기초 및 활용 영도구평생학습관 진취형,17
133,한걸음아크릴 캔버스화 서구평생학습관 예술형,16
134,힐링 토탈공예 체험 부산진구평생학습관 예술형,9
135,야간특강 가을꽃과 함께하는 이니셜 레진키링 서구평생학습관 예술형,16
136,정규치매재활 활동가 양성 과정 서구평생학습관 사회형,16
137,가을 따라 숲길 따라 사하林 산림치유 프로그램 사하구평생학습관 진취형,10
138,오감만족 문화예술 가요와 함께 만나는 합창  휴강 사하구평생학습관 예술형,10
139,한걸음천연생활용품 서구평생학습관 현실형,16
140,모모라미스튜디오 왕초보 나이프화 겨울야간 부산진구평생학습관 예술형,9
141,책과 함께하는 힐링 플랜테리어 영도구평생학습관 사회형,17
142, 퍼스널 골격체형 진단 스타일링 북구평생학습관 진취형,15
143,정규천마산 이야기를 담은 창작 동화책 제작 과정 서구평생학습관 진취형,16
144,하반기 영어 원어민초등학년 영도구평생학습관 진취형,17
145,하반기 영어 원어민초등학년 영도구평생학습관 진취형,17
146,청년을 위한 자산 관리 방법과 기초 재테크 청년세 우선 선발 사하구평생학습관 사회형,10
147,함께 실천해요 환경테라피 지구품愛 북구평생학습관 사회형,15
148,한걸음베이킹클래스 서구평생학습관 현실형,16
149,  치매 방지에 최고 색소폰 무엇이든 물어보세요 북구평생학습관 사회형,15
150,박람회공방존 터프팅 키링 만들기오후 부산진구평생학습관 예술형,9
151,박람회공방존 실크스크린 양말 만들기오전 부산진구평생학습관 예술형,9
152,박람회공방존 한송이 빼빼로 플라워 만들기오전 부산진구평생학습관 예술형,9
153,박람회공방존 앙금플라워 백설기 만들기오후 부산진구평생학습관 예술형,9
154,박람회공방존 쥬얼리 점토 큐빅 목걸이 만들기오후 부산진구평생학습관 예술형,9
155,박람회공방존 포춘 파우치 만들기오전 부산진구평생학습관 예술형,9
156,박람회공방존 모루 꽃 한송이 만들기오후 부산진구평생학습관 예술형,9
157,박람회공방존 캘리그라피 아크릴 무드등오후 부산진구평생학습관 예술형,9
158,  치매 방지에 최고 색소폰 무엇이든 물어보세요 북구평생학습관 사회형,15
159,박람회공방존 곰돌이 쿠키 꾸미기오전 부산진구평생학습관 예술형,9
160,박람회공방존 스칸디아모스 미니모스화분 만들기오전 부산진구평생학습관 예술형,9
