id,organization
1,부산광역시 장노년일자리지원센터
2,부산광역시 장노년일자리지원센터
3,부산광역시 장노년일자리지원센터
4,부산광역시 해운대구청
5,부산광역시 북구청
6,부산광역시 부산진구청
7,부산경제진흥원
8,부산테크노파크
9,부산경영자총협회
10,부산여자대학교
11,부산여자대학교
12,부산경영자총협회
13,부산경영자총협회
14,부산경제진흥원
15,고용노동부
16,부산광역시 장노년일자리지원센터
17,부산경제진흥원
18,부산광역시 장노년일자리지원센터
19,부산광역시 영도구청
20,부산경영자총협회
21,부산경상대학교
22,부산경영자총협회
23,부산경영자총협회
24,(주)스마트소셜
25,부산경제진흥원
26,(주)스마트소셜
27,부산광역시 수영구청
28,부산광역시 연제구청
29,부산경영자총협회
30,부산광역시 북구청
31,부산광역시 연제구청
32,부산광역시 부산진구청
33,부산광역시 수영구청
34,부산광역시 영도구청
35,부산광역시 영도구청
36,부산경영자총협회
37,부산경영자총협회
38,부산경영자총협회
39,부산광역시 영도구청
40,부산광역시 연제구청
41,부산광역시의회
42,부산경영자총협회
43,(주)스마트소셜
44,부산광역시 영도구청
45,부산경영자총협회
46,부산광역시 장노년일자리지원센터
47,SBS
48,부산연구원
49,(주)스마트소셜
50,부산광역시 영도구청
51,부산광역시 장노년일자리지원센터
52,(주)스마트소셜
53,(주)스마트소셜
54,부산진구 청년마루
55,(재)함께일하는재단
56,부산광역시 수영구청
57,부산광역시 영도구청
58,부산경영자총협회
59,부산광역시 영도구청
60,부산광역시 남구청
61,부산광역시 해운대구청
62,부산경영자총협회
63,부산광역시 수영구청
64,부산경영자총협회
65,부산광역시 영도구청
66,부산광역시 남구청
67,부산경영자총협회
68,부산경제진흥원
69,부산경제진흥원
70,부산광역시 장노년일자리지원센터
71,부산여성가족과 평생교육진흥원
72,부산광역시 영도구청
73,한국표준협회
74,부산광역시 부산진구청
75,부산광역시 영도구청
76,부산예일직업전문학교
77,부산광역시 장노년일자리지원센터
78,부산광역시 영도구청
79,부산광역시 영도구청
80,부산예일직업전문학교
81,부산광역시 사하구청
82,부산광역시 영도구청
83,부산경상대학교
84,부산경상대학교
85,부산경상대학교
86,부산광역시 금정구청
87,부산경제진흥원
88,노사발전재단
89,부산광역시 금정구청
90,부산광역시 금정구청
91,부산경제진흥원
92,부산광역시 장노년일자리지원센터
93,부산광역시 금정구청
94,부산광역시 금정구청
95,부산경제진흥원
96,부산광역시 해운대구청
97,부산광역시 연제구청
98,부산광역시 연제구청
99,사하여성인력개발센터
100,부산광역시 부산진구청
101,부산경제진흥원
102,부산광역시 사상구청
