id,combined_cleaned,region_id
1,오픈 직원 모집 합니다 홀서빙 오전반명 오후반 명 매주 일요일휴무 요리서빙 기타 서빙포장 현실형,12
2,홀서빙주방 정규직 주방주방보조설거지 서빙포장 요리서빙 기타 현실형,12
3,홀서빙 오후반 시분시분 요리서빙 기타 서빙포장 현실형,8
4,에리후세 잘하시는분 본봉사 급 급구 섬유재단미싱 생산제조조립인쇄 생산기술 기타 현실형,9
5,생산직 골판지 상자 제작 기능공 구함 생산제조조립인쇄 현실형,4
6,광안다찌횟집 주방 홀 직원 구인 주방주방보조설거지 주방장조리사 서빙포장 현실형,5
7,신라농원 육부보조 면부 직원모집합니다 요리서빙 기타 주방주방보조설거지 현실형,15
8,병원 조리원 요양보호사 구함 주방주방보조설거지 주방장조리사 요양간병돌봄 사회형,4
9,횟집 홀서빙 정직원 모집합니다 횟집경험자 요리서빙 기타 서빙포장 현실형,9
10,배식부 구인시간근무초보주부외국인가능 주방주방보조설거지 주방장조리사 현실형,9
11,병원구내식당 조리사부조리장 조리원 모집 주방주방보조설거지 주방장조리사 현실형,6
12,주간 주방 주간 홀서빙 모집 주방주방보조설거지 서빙포장 현실형,4
13,홀서빙 정직원 및 아르바이트 모집합니다 요리서빙 기타 서빙포장 현실형,6
14,홀서빙 모집 서빙포장 현실형,2
15,장례행사 도우미서빙세팅 일 만추가수당 웨딩플래너상례사영업사원 모집 상조웨딩연회 서빙포장 주방주방보조설거지 현실형,9
16,직원 모집 급여시간 근무지별 상이 상세내용 참조각담당자 연락처확인 주방장조리사 주방주방보조설거지 현실형,2
17,식품회사 주간생산물류 포장실남여 물류관리 신체건강한분 생산제조조립인쇄 농수산물 가공식품 제조 포장검사 현실형,2
18,장례행사 도우미서빙세팅 웨딩플래너상례사영업사원 모집 상조웨딩연회 서빙포장 주방주방보조설거지 현실형,9
19,미싱사삼봉사오바사정리모집 섬유재단미싱 사회형,9
20,객실 카운터 직원 격일제근무 운전필수 송도인근거주자환영 모텔호텔숙박 서비스 기타 현실형,16
21,부산브이호텔 청소 주간 카운터 직원 구합니다 모텔호텔숙박 청소미화방역 현실형,12
22,미화원 모집 청소미화방역 현실형,2
23,주방조리오전오후 주방보조종일오후 모집 주방주방보조설거지 주방장조리사 현실형,16
24,만부부대찌개 홀서빙 주방보조구함 주방주방보조설거지 서빙포장 현실형,12
25,주방정직원 모집합니다 주방주방보조설거지 요리서빙 기타 현실형,16
26,자반제조업체 현장생산직 정직원 구함 농수산물 가공식품 제조 생산제조조립인쇄 현실형,10
27,마사회 부산경마공원 직원식당 조리원 모집 시시주일부산 강서구 범방동 주방주방보조설거지 주방장조리사 서빙포장 현실형,7
28,스타김밥 주방직원 유경험자 시시 매주일요일휴무 시급원 주방주방보조설거지 요리서빙 기타 현실형,11
29,인쌩맥주 부산온천천점에서 주방직원 모집합니다안락동 주방장조리사 주방주방보조설거지 현실형,3
30,국밥집 홀서빙 주일 교대휴무 월만 요리서빙 기타 서빙포장 현실형,10
31,주차관리 직원모집 주차관리주차도우미 백화점아울렛쇼핑몰 탐구형,13
32,미싱사 시다 직원모집합니다 생산기술 기타 섬유재단미싱 생산제조조립인쇄 현실형,11
33,노크 서면 직영점 주방쉐프 모집 월만 주일근무 금토일월 경력자우대 주방장조리사 요리서빙 기타 주방주방보조설거지 현실형,9
34,파출부 일하실분 쓰실분 구내식당일반식당청소 가사도우미등 모든일자리제공 주방주방보조설거지 가사도우미베이비시터 청소미화방역 현실형,9
35,부산직업소개소가사원일자리 전문업체 입주청소가정도우미홀서빙주방보조설것이주방메인외 청소미화방역 주방주방보조설거지 가사도우미베이비시터 현실형,5
36,김해한우뒷고기 홀서빙 모집 시시분 요리서빙 기타 서빙포장 현실형,5
37,사조동아원 부산공장내 곡물수송기사 모집 배송이사 화물중장비특수차 현실형,14
38,물수건공장 단순알바 모집 생산제조조립인쇄 포장검사 건설현장 현실형,13
39,주방장 주방보조 홀서빙 모집숙식제공가능 주방주방보조설거지 주방장조리사 서빙포장 현실형,13
40,미싱사 미싱보조 직원 모집 섬유재단미싱 현실형,4
41,추천 아파트현장 단순 직원 모집 초보가능경력우대 생산제조조립인쇄 건설현장 건설토목 기타 현실형,14
42,홀주방 정직원 모집 서빙포장 주방주방보조설거지 주방장조리사 현실형,13
43,경력자 직원을 모집합니다 섬유재단미싱 현실형,17
44,선박 줄잡이 업무 사원 수동운전필수 급구 건설현장 자동차정비조선선원 건설토목 기타 현실형,10
45,체육복 제조업체 구찌사공장책임자미싱사재단사시다공아이롱사 각명 섬유재단미싱 포장검사 사회형,4
46,생산직 직원 구합니다프레스유압 경험자우대 초보가능 주일근무 생산제조조립인쇄 기계설비 현실형,7
47,무료 체험실 남녀 정직원 및 알바 모집 의료기 체험실 홍보관 매장 등 초보자환영 화장품뷰티헬스스토어 상담영업기타 현실형,17
48,초록칼국수김밥 홀서빙 오전반오후반 주방보조 정직원 주방주방보조설거지 서빙포장 현실형,15
49,주방야간 설거지 모집 주방주방보조설거지 현실형,17
50,연산숯불갈비 급구 주방직원 시시 시급만원 요리서빙 기타 주방주방보조설거지 현실형,11
51,닭고기 단순가공작업 직원모집 생산제조조립인쇄 농수산물 가공식품 제조 포장검사 현실형,13
52,홀서빙 구함 서빙포장 현실형,14
53,감사드림 주유소현대 주유원 모집 세차주유 현실형,11
54,공인중개사허가자 님 구합니다 부동산 상담영업기타 현실형,6
55,도경기업 생산검사 직원 모집합니다 생산제조조립인쇄 생산기술 기타 포장검사 현실형,10
56,스케줄러 모집 기본급인센티브 약속잡아주는 누구나 정말쉬운업무 서비스 기타 아웃바운드 상담영업기타 탐구형,9
57,리서치설문조사아주쉬움맛집조사전화업무월금 주일주일도 가능 서비스 기타 사무기획관리홍보 탐구형,9
58,구내식당 주말공휴일 조리원 시시 일당만원 주말공휴일조리가능자 주방주방보조설거지 요리서빙 기타 현실형,2
59,산부인과 외래진료 간호조무사 구합니다 간호조무사간호사 사회형,4
60,신한여객영도 구내식당 조리하실분 구합니다 주방주방보조설거지 주방장조리사 현실형,17
61,주야간 환경미화원 모집주일 청소미화방역 모텔호텔숙박 현실형,12
62,시급원주급지급문현동 롯데택배 오후 상하차 인원 모집 서비스 기타 택배물류 건설토목 기타 현실형,8
63,미싱사 명 시다 명 하도매 남여명 금속금형 섬유재단미싱 생산제조조립인쇄 현실형,4
64,주방보조 모집 주방주방보조설거지 현실형,2
65,주방보조 구합니다 주방주방보조설거지 요리서빙 기타 현실형,13
66,생산 현장직 초보자 유리재단기사 경력자 모집 생산제조조립인쇄 섬유재단미싱 건설토목 기타 현실형,3
67,홀서빙 정직원 주말알바 구함 서빙포장 현실형,2
68,파출부 식당업소 일하실분 쓰실분 모집 청소미화방역 가사도우미베이비시터 주방주방보조설거지 현실형,10
69,셔츠 전문업체 본봉사 특종 구함 섬유재단미싱 사회형,11
70,부산건설현장인력 함께 일할분 출력 당일지급 초보경력자알바환영 생산제조조립인쇄 건설마감 건설현장 현실형,4
71,작업기사관리자및 플라스틱선별직원하이카압축차 운전 청소미화방역 서비스 기타 화물중장비특수차 현실형,13
72,더 조은 가족을 모심 요양보호사 간병사 남여 자격증 무관 요양간병돌봄 요양간호의료 기타 아웃바운드 사회형,11
73,금정구 서울지온병원 구내식당 조리장 모집합니다 주방장조리사 현실형,13
74,주방보조 주일구합니다 주방주방보조설거지 서빙포장 현실형,4
75,의지보조기 제작보조 단순사무 직원 모집 내외근 종보통운전가능한분 사무기획관리홍보 생산제조조립인쇄 탐구형,4
76,학원차량기사님 모집 광안동 시급 승용차대리운전 현실형,5
77,삼겹이네 연동점자이주유소 옆 홀알바주말반파트타임초보환영 요리서빙 기타 현실형,11
78,아수라일월화주방 요리서빙 기타 현실형,6
79,꼬마김밥집에서 일하실분 구합니다 요리서빙 기타 현실형,11
80,수영한서병원 식당주방조리 월 만원이상 경력우대 주방주방보조설거지 주방장조리사 현실형,5
81,사직동 오후 주방직원 모집합니다상세내용 필독 요리서빙 기타 현실형,3
82,구내식당 조리사 조리사 자격증필수조리원 모집 주방장조리사 주방주방보조설거지 요리서빙 기타 현실형,17
83,주례 장원갈비 홀서빙 정직원 모집합니다 요리서빙 기타 서빙포장 현실형,4
84,태종대 조개구이촌 올레에서 이모 모집합니다 요리서빙 기타 현실형,17
85,주방이모님 구합니다 요리서빙 기타 현실형,13
86,하단동 식당 홀 서빙 직원 구합니다 일목 요리서빙 기타 서빙포장 현실형,10
87,집에서 간단한 전자부품 조립 부업 하실분 모집합니다 생산제조조립인쇄 생산기술 기타 현실형,12
88,호텔 구내식당 조리사 직원 모집 주방주방보조설거지 주방장조리사 현실형,12
89,금빛코다리남산점 주방 정직원 모집합니다 요리서빙 기타 현실형,13
90,함경면옥 동래본점 주방 정직원 구합니다 요리서빙 기타 현실형,3
91,사미헌 아침 청소 해주실 분 모집합니다 유통판매 기타 서빙포장 주방주방보조설거지 현실형,9
92,전단지 아르바이트 경력자모집 서비스 기타 현실형,3
93,종합 분식점 오후 판매 홀서빙 명 직원 모십니다 요리서빙 기타 서빙포장 주방장조리사 탐구형,3
94,반찬잘하는주방이모 구합니다주말 공휴일 휴무 요리서빙 기타 주방장조리사 주방주방보조설거지 현실형,17
95,때깔 영도점에서 홀 주방보조 직원 홀파트타임 모집합니다 요리서빙 기타 현실형,1
96,장례행사 단순 도우미서빙세팅수당만원웨딩플래너상례사모집초보누구나환영 상조웨딩연회 서비스 기타 가사도우미베이비시터 현실형,9
97,수영한서병원 식당주방직원 월 만원이상 초보가능 주방주방보조설거지 현실형,5
98,주방보조 및 설거지 일할 분을 구해요월급 주방주방보조설거지 현실형,8
99,주말헬퍼구함일식주방 주방장조리사 현실형,1
100,사직동 오후 주방직원 모집합니다상세내용 필독 요리서빙 기타 현실형,3
101,쌍둥이 돼지국밥 홀서빙 구합니다 요리서빙 기타 서빙포장 주방주방보조설거지 현실형,3
102,반찬잘하는주방이모 구합니다주말 공휴일 휴무 요리서빙 기타 주방장조리사 주방주방보조설거지 현실형,6
103,신규 오픈 매장에서 직원 모집합니다 주방보조 및 주방 설거지 매주일요일 휴무 주방주방보조설거지 현실형,12
104,호텔 객실정비지원 미화 모집 모텔호텔숙박 현실형,5
105,주방보조 주일구합니다 주방주방보조설거지 서빙포장 현실형,4
106,자동차 포장 주간 월 만 기숙사 외국인 생산제조조립인쇄 금속금형 현실형,2
