id,combined_cleaned
1,주방직원시분시시급원 주방보조및설거지시시시급원 부산 연제구 좌수영로 주방주방보조설거지 요리서빙 기타 현실형
2,덕천동 센트럴병원 조리원조리사 모집 월회휴무 부산 북구 만덕대로 주방장조리사 주방주방보조설거지 사회형
3,직원 모집 급여시간 근무지별 상이 상세내용 참조각담당자 연락처확인 부산 강서구 미음산단로번길 주방장조리사 주방주방보조설거지 현실형
4,미싱사 명 시다 명 하도매 남여명 부산 사상구 사상로번길 금속금형 섬유재단미싱 생산제조조립인쇄 현실형
5,미싱사명 시다명 급구 외주하실분 구합니다 부산 사하구 을숙도대로 섬유재단미싱 생산제조조립인쇄 생산기술 기타 현실형
6,의료기 체험실 직원 모집 의료기 체험실 홍보관 매장 등 초보자환영 부산 동래구 명륜로 요양간호의료 기타 화장품뷰티헬스스토어 사회형
7,병원 구내식당 조리원 주방보조배식및 잔반처리 단순업무 모집 부산 남구 유엔평화로 주방장조리사 주방주방보조설거지 청소미화방역 현실형
8,의류제조업체 미싱사 미싱보조 완성아이롱특종 실밥부업하실직원 모집 부산 해운대구 신반송로 섬유재단미싱 생산제조조립인쇄 생산기술 기타 현실형
9,주방보조 직원 토일 주말반 홀서빙 평일오전반주일 부산 동구 초량상로 주방주방보조설거지 서빙포장 현실형
10,아파트 복합시설 공장 지중관로 케이블포설업무 신입 경력직모집 부산 북구 시랑로번길 건설현장 전기조명시설관리 현실형
11,김밥전문점 주방에서 일하실분 칼국수 경험자 시시 시급만원 부산 북구 금곡대로번길 요리서빙 기타 주방주방보조설거지 현실형
12,모텔 청소 중간반 오후시밤시 유경험자 청소대타 모집 부산 동래구 명륜로번가길 청소미화방역 모텔호텔숙박 서비스 기타 현실형
13,주방정직원 모집합니다 부산 남구 유엔로 주방주방보조설거지 요리서빙 기타 현실형
14,냉동기사 명 구함 관련자격증소지자 숙련자우대 부산 사하구 다대로번길 생산제조조립인쇄 기계설비 생산기술 기타 현실형
15,노크 서면 직영점 주방쉐프 모집 월만 주일근무 금토일월 경력자우대 부산 부산진구 중앙대로번길 주방장조리사 요리서빙 기타 주방주방보조설거지 현실형
16,장례행사 도우미서빙세팅 웨딩플래너상례사영업사원 모집 부산 부산진구 자유평화로 상조웨딩연회 서빙포장 주방주방보조설거지 현실형
17,부산해신자연횟집 주방설거지직원월토 오후시밤시 부산 동구 중앙대로번길 주방주방보조설거지 요리서빙 기타 현실형
18,부산 광안다찌 주 종일 홀서빙 주일 반일 주방 메인직원조리파트 구인 부산 수영구 광안해변로번길 주방주방보조설거지 주방장조리사 서빙포장 현실형
19,파출부 일하실분 쓰실분 구내식당일반식당청소 가사도우미등 모든일자리제공 부산 부산진구 부전로 주방주방보조설거지 가사도우미베이비시터 청소미화방역 현실형
20,부산직업소개소가사원일자리 전문업체 입주청소가정도우미홀서빙주방보조설것이주방메인외 부산 수영구 황령대로번길 청소미화방역 주방주방보조설거지 가사도우미베이비시터 현실형
21,주방 경력자 및 김밥 가족을 모십니다 근무시간급여 협의조정상세정보참조 부산 부산진구 성지로 주방주방보조설거지 주방장조리사 서빙포장 현실형
22,장례행사 도우미서빙세팅 일 만추가수당 웨딩플래너상례사영업사원 모집 부산 부산진구 자유평화로 상조웨딩연회 서빙포장 주방주방보조설거지 현실형
23,남산정요양병원 조리사 조리원 정규직 구함 월회휴무연차별도 조리사자격증소지자 부산 북구 만덕대로 주방장조리사 주방주방보조설거지 사회형
24,홀오전반 시분시일당 주방오후반 시시 일당 부산 해운대구 대천로 요리서빙 기타 주방주방보조설거지 서빙포장 현실형
25,보일러 설치기사 경력자우대 부산 금정구 장전로 배관설비 설치수리정비 기계설비 현실형
26,주방보조종일오전오후 홀서빙 오후반 모집 시간조절가능 부산 서구 구덕로번길 서빙포장 주방주방보조설거지 현실형
27,파출부 식당업소 일하실분 쓰실분 모집 부산 사하구 낙동남로 청소미화방역 가사도우미베이비시터 주방주방보조설거지 현실형
28,부산브이호텔 청소 주간 카운터 직원 구합니다 부산 해운대구 구남로번길 모텔호텔숙박 청소미화방역 현실형
