id,source,company,title,subtitle,salary,signup_date,due_date,region_name,career,education,work_type,work_category,link,contact,work_hours,details,email,certification,preference_type,region_id
1,국민 일자리 벼룩시장,스타김밥,"주방직원05시30분~10시시급12,000원/ 주방보조및설거지11시~14시시급10,000원",,"12,000원",2024-09-19,2999-12-31,부산 연제구 좌수영로 225,무관,무관," 계약직, 아르바이트(파트타임)","주방·주방보조·설거지, 요리·서빙 기타",http://www.findjob.co.kr/job/view/0113155904094094/WJ010310/,010-9778-2275,05:30~10:00,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113155904&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1252px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,현실형,11
2,국민 일자리 벼룩시장,의료법인신생의료재단센트럴,덕천동 센트럴병원 조리원(조리사) 모집 (월8~10회휴무),,"2,600,000원",2024-09-19,9999-01-01,부산 북구 만덕대로 37,무관,무관, 정규직,"주방장·조리사, 주방·주방보조·설거지",http://www.findjob.co.kr/job/view/0113151040094094/WJ010310/,051-540-8290,06:00~18:30,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113151040&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1295px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,사회형,15
3,국민 일자리 벼룩시장,(주)대웅,"직원 모집 ( 급여,시간 근무지별 상이 상세내용 참조-각담당자 연락처확인 )",,"2,450,000원 이상",2024-09-19,2999-12-31,부산 강서구 미음산단로295번길 6,무관,무관," 정규직, 아르바이트(파트타임)","주방장·조리사, 주방·주방보조·설거지",http://www.findjob.co.kr/job/view/0113131415094094/WJ010310/,010-2110-6688,"08:30~18:00 협의가능, 휴게시간 포함, 근무지별 상이","<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113131415&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""2438px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,현실형,7
4,국민 일자리 벼룩시장,남윤테크,미싱사 00명/ 시다 00명/ 하도매 남여0명,,"9,860원",2024-09-19,2999-12-31,부산 사상구 사상로433번길 13,무관,무관, 정규직,"금속·금형, 섬유·재단·미싱, 생산·제조·조립·인쇄",http://www.findjob.co.kr/job/view/0113138577094094/WJ010310/,051-338-6173,"09:00~18:00 협의가능, 휴게시간 포함","<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113138577&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1577px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,현실형,4
5,국민 일자리 벼룩시장,수빈,"미싱사(3명), 시다(1명) 급구 , 외주하실분 구합니다",,회사내규에 따름,2024-09-19,2999-12-31,부산 사하구 을숙도대로 651,무관,무관, 위촉직,"섬유·재단·미싱, 생산·제조·조립·인쇄, 생산·기술 기타",http://www.findjob.co.kr/job/view/0113153849094094/WJ010310/,010-9320-0220,"협의가능 협의가능, 휴게시간 포함","<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113153849&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1330px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,현실형,10
6,국민 일자리 벼룩시장,솔고헬스케어 명륜점,"의료기 체험실 직원 모집 (의료기 체험실, 홍보관 매장 등) 초보자환영",,"2,100,000원 이상",2024-09-19,2999-12-31,부산 동래구 명륜로 109,무관,고졸이상, 정규직,"요양·간호·의료 기타, 화장품·뷰티·헬스스토어",http://www.findjob.co.kr/job/view/0113145455094094/WJ010310/,010-9321-0568,09:00~17:30,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113145455&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""2626px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,사회형,3
7,국민 일자리 벼룩시장,의료법인인혜의료재단가나병원,병원 구내식당 조리원/ 주방보조(배식및 잔반처리 단순업무) 모집,,회사내규에 따름,2024-09-19,2999-12-31,부산 남구 유엔평화로 156,무관,무관," 위촉직, 프리랜서","주방장·조리사, 주방·주방보조·설거지, 청소·미화·방역",http://www.findjob.co.kr/job/view/0113140888094094/WJ010310/,010-6227-6934 문자문의,"협의가능 협의가능, 휴게시간 포함","<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113140888&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""2159px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,현실형,8
8,국민 일자리 벼룩시장,주식회사 성하,"(의류제조업체) 미싱사, 미싱보조, 완성(아이롱,특종), 실밥부업하실직원 모집",,회사내규에 따름,2024-09-19,2999-12-31,부산 해운대구 신반송로 196,무관,무관, 위촉직,"섬유·재단·미싱, 생산·제조·조립·인쇄, 생산·기술 기타",http://www.findjob.co.kr/job/view/0113128238094094/WJ010310/,010-2107-1977,협의가능 협의가능,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113128238&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1436px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,현실형,12
9,국민 일자리 벼룩시장,맛나감자탕,주방보조 직원 (토/일 주말반) / 홀서빙 평일오전반(주6일),,"110,000원",2024-09-19,2999-12-31,부산 동구 초량상로 98,무관,무관, 아르바이트(파트타임),"주방·주방보조·설거지, 서빙·포장",http://www.findjob.co.kr/job/view/0113152761094094/WJ010310/,010-8960-8877,"10:00~22:00 협의가능, 휴게시간 포함","<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113152761&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1299px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,현실형,14
10,국민 일자리 벼룩시장,이음전기,"아파트 복합시설 공장 지중관로 케이블포설업무 신입, 경력직모집",,"4,500,000원 이상",2024-09-19,2999-12-31,부산 북구 시랑로118번길 54-6,무관,무관," 정규직, 계약직, 파견직","건설현장, 전기·조명·시설관리",http://www.findjob.co.kr/job/view/0113135129094094/WJ010310/,010-3248-0792,07:30~17:30,"<iframe src=""/job/include/2018/RanderPage/AdDetail/AdLoad_DetailInfoIFrame.asp?LineAdID=113135129&amp;InputBranch=94&amp;LayoutBranch=94&amp;AdKind=L&amp;AdGbn=PaperJob&amp;PageMode=FrontAdDetail"" width=""930"" height=""1482px"" frameborder=""0"" scrolling=""no"" name=""DetailFrame"" id=""DetailFrame""></iframe><!-- 180918 수정 --> <div id=""printdetail""></div>",,,현실형,15
